csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],24360,0.014224,1.005,143981.921270,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],28320,0.021600,1.039,189629.278464,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],34976,0.036111,1.089,226854.066070,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],35808,0.065340,1.136,250750.894398,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],38928,0.124796,1.170,262571.821923,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],42256,0.241976,1.189,270836.564540,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],55152,0.477288,1.267,274618.036590,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],69920,0.948939,1.342,276249.506724,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],96336,1.887091,1.500,277828.640300,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],96336,3.776612,1.501,277649.906410,0.00,0.00,0.00,0.00
csv,paper,21,[16,16,8,1024],104032,7.656324,1.596,273911.092909,0.00,0.00,0.00,0.00
csv,paper,22,[16,16,8,2048],104032,15.266305,1.603,274742.578293,0.00,0.00,0.00,0.00
csv,paper,23,[16,16,8,4096],104032,30.551410,1.593,274573.510082,0.00,0.00,0.00,0.00
csv,paper,24,[16,16,8,8192],105488,61.051081,1.585,274806.207223,0.00,0.00,0.00,0.00
csv,paper,25,[16,16,8,16384],111728,122.210669,1.653,274562.215620,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],40800,0.239867,1.186,273218.471403,-3.45,-0.87,-0.25,0.88
csv,mod16,17,[16,16,16,16,2],55784,0.473381,1.502,276884.522945,1.15,-0.82,18.51,0.83
csv,mod16,18,[16,16,16,16,4],56200,0.941211,1.502,278517.660850,-19.62,-0.81,11.90,0.82
csv,mod16,19,[16,16,16,16,8],57032,1.875562,1.500,279536.519165,-40.80,-0.61,0.04,0.61
csv,mod16,20,[16,16,16,16,16],58696,3.771910,1.498,277996.060303,-39.07,-0.12,-0.20,0.12
csv,mod16,21,[16,16,16,16,32],74504,7.648261,1.658,274199.861503,-28.38,-0.11,3.90,0.11
csv,mod16,22,[16,16,16,16,64],81160,15.243732,1.705,275149.419007,-21.99,-0.15,6.38,0.15
csv,mod16,23,[16,16,16,16,128],94472,30.534415,1.727,274726.335445,-9.19,-0.06,8.35,0.06
csv,mod16,24,[16,16,16,16,256],120888,61.070651,1.882,274718.143595,14.60,0.03,18.79,-0.03
csv,mod16,25,[16,16,16,16,512],133368,122.281333,1.967,274403.550338,19.37,0.06,19.03,-0.06
csv,uni32x3,15,[32,32,32],45992,0.118604,1.116,276280.425036,18.15,-4.96,-4.64,5.22
csv,uni32x3,16,[32,32,32,2],67840,0.229721,1.282,285284.831151,60.55,-5.06,7.76,5.33
csv,uni32x3,17,[32,32,32,4],68256,0.457685,1.307,286380.373282,23.76,-4.11,3.11,4.28
csv,uni32x3,18,[32,32,32,8],69088,0.907843,1.297,288754.699250,-1.19,-4.33,-3.34,4.53
csv,uni32x3,19,[32,32,32,16],70752,1.791632,1.305,292631.530058,-26.56,-5.06,-12.96,5.33
csv,uni32x3,20,[32,32,32,32],74080,3.610450,1.357,290428.080520,-23.10,-4.40,-9.56,4.60
csv,uni32x3,21,[32,32,32,64],100080,7.324673,1.526,286313.384459,-3.80,-4.33,-4.34,4.53
csv,uni32x3,22,[32,32,32,128],113392,14.606084,1.593,287161.423216,9.00,-4.32,-0.66,4.52
csv,uni32x3,23,[32,32,32,256],139808,29.401469,1.743,285312.546245,34.39,-3.76,9.40,3.91
csv,uni32x3,24,[32,32,32,512],139808,59.043629,1.692,284149.473493,32.53,-3.29,6.78,3.40
csv,uni32x3,25,[32,32,32,1024],139808,118.111414,1.615,284091.357625,25.13,-3.35,-2.31,3.47
csv,uni64x2x8,15,[64,64,8],74280,0.116549,1.180,281152.782350,90.81,-6.61,0.85,7.08
csv,uni64x2x8,16,[64,64,8,2],78240,0.226312,1.212,289582.163683,85.16,-6.47,1.86,6.92
csv,uni64x2x8,17,[64,64,8,4],78656,0.447097,1.209,293162.060473,42.62,-6.33,-4.60,6.75
csv,uni64x2x8,18,[64,64,8,8],79488,0.887117,1.208,295501.062715,13.68,-6.51,-9.96,6.97
csv,uni64x2x8,19,[64,64,8,16],108816,1.767602,1.394,296609.724620,12.95,-6.33,-7.03,6.76
csv,uni64x2x8,20,[64,64,8,32],112144,3.561356,1.451,294431.678476,16.41,-5.70,-3.27,6.04
csv,uni64x2x8,21,[64,64,8,64],118800,7.227335,1.480,290169.467976,14.20,-5.60,-7.27,5.94
csv,uni64x2x8,22,[64,64,8,128],133568,14.454063,1.547,290181.652129,28.39,-5.32,-3.48,5.62
csv,uni64x2x8,23,[64,64,8,256],159984,28.887301,1.685,290390.858236,53.78,-5.45,5.73,5.76
csv,uni64x2x8,24,[64,64,8,512],159984,57.833640,1.678,290094.414920,51.66,-5.27,5.92,5.56
csv,uni64x2x8,25,[64,64,8,1024],187648,115.890664,1.855,289535.246491,67.95,-5.17,12.21,5.45
csv,hi128_32_8,15,[128,32,8],100904,0.114905,1.279,285173.811123,159.21,-7.93,9.36,8.61
csv,hi128_32_8,16,[128,32,8,2],104864,0.223345,1.298,293429.308453,148.16,-7.70,9.09,8.34
csv,hi128_32_8,17,[128,32,8,4],105280,0.440743,1.325,297388.687861,90.89,-7.66,4.54,8.29
csv,hi128_32_8,18,[128,32,8,8],112560,0.875431,1.348,299445.785415,60.98,-7.75,0.46,8.40
csv,hi128_32_8,19,[128,32,8,16],115680,1.745761,1.381,300320.532401,20.08,-7.49,-7.88,8.10
csv,hi128_32_8,20,[128,32,8,32],119008,3.515658,1.430,298258.809638,23.53,-6.91,-4.69,7.42
csv,hi128_32_8,21,[128,32,8,64],125664,7.150553,1.473,293285.290000,20.79,-6.61,-7.70,7.07
csv,hi128_32_8,22,[128,32,8,128],166848,14.271022,1.670,293903.550267,60.38,-6.52,4.15,6.97
csv,hi128_32_8,23,[128,32,8,256],199712,28.560891,1.857,293709.601330,91.97,-6.52,16.55,6.97
csv,hi128_32_8,24,[128,32,8,512],199712,57.311079,1.852,292739.490295,89.32,-6.13,16.89,6.53
csv,hi128_32_8,25,[128,32,8,1024],201168,114.592296,1.879,292815.775472,80.05,-6.23,13.65,6.65
