csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],24360,0.014334,1.039,142877.683517,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],28320,0.021780,1.050,188058.375781,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],34976,0.036243,1.115,226031.263501,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],35808,0.065534,1.113,250007.900488,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],38928,0.124670,1.156,262838.703721,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],42256,0.241841,1.179,270988.298202,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],55152,0.477267,1.274,274630.115316,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],69920,0.948177,1.341,276471.476255,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],96336,1.887339,1.482,277792.167967,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],96336,3.773101,1.486,277908.310492,0.00,0.00,0.00,0.00
csv,paper,21,[16,16,8,1024],104032,7.650112,1.564,274133.514098,0.00,0.00,0.00,0.00
csv,paper,22,[16,16,8,2048],104032,15.251191,1.619,275014.854871,0.00,0.00,0.00,0.00
csv,paper,23,[16,16,8,4096],104032,30.530857,1.584,274758.354697,0.00,0.00,0.00,0.00
csv,paper,24,[16,16,8,8192],105488,61.012718,1.566,274978.997660,0.00,0.00,0.00,0.00
csv,paper,25,[16,16,8,16384],111728,122.168626,1.625,274656.702512,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],40800,0.240068,1.195,272988.801161,-3.45,-0.73,1.35,0.74
csv,mod16,17,[16,16,16,16,2],55784,0.473766,1.479,276660.019800,1.15,-0.73,16.06,0.74
csv,mod16,18,[16,16,16,16,4],56200,0.941149,1.480,278536.112016,-19.62,-0.74,10.29,0.75
csv,mod16,19,[16,16,16,16,8],57032,1.874640,1.470,279673.894994,-40.80,-0.67,-0.83,0.68
csv,mod16,20,[16,16,16,16,16],58696,3.771692,1.525,278012.086698,-39.07,-0.04,2.66,0.04
csv,mod16,21,[16,16,16,16,32],74504,7.653103,1.675,274026.371494,-28.38,0.04,7.09,-0.04
csv,mod16,22,[16,16,16,16,64],81160,15.246204,1.709,275104.797755,-21.99,-0.03,5.50,0.03
csv,mod16,23,[16,16,16,16,128],94472,30.515397,1.775,274897.551347,-9.19,-0.05,12.02,0.05
csv,mod16,24,[16,16,16,16,256],120888,61.041939,1.880,274847.363827,14.60,0.05,20.10,-0.05
csv,mod16,25,[16,16,16,16,512],133368,122.250960,1.982,274471.726479,19.37,0.07,21.97,-0.07
csv,uni32x3,15,[32,32,32],45992,0.118683,1.145,276096.329207,18.15,-4.80,-0.92,5.04
csv,uni32x3,16,[32,32,32,2],67840,0.229528,1.329,285525.376103,60.55,-5.09,12.71,5.36
csv,uni32x3,17,[32,32,32,4],68256,0.456953,1.338,286839.374570,23.76,-4.26,4.98,4.45
csv,uni32x3,18,[32,32,32,8],69088,0.909290,1.286,288295.409817,-1.19,-4.10,-4.17,4.28
csv,uni32x3,19,[32,32,32,16],70752,1.789732,1.329,292942.170101,-26.56,-5.17,-10.37,5.45
csv,uni32x3,20,[32,32,32,32],74080,3.611445,1.374,290348.065656,-23.10,-4.28,-7.51,4.48
csv,uni32x3,21,[32,32,32,64],100080,7.326904,1.589,286226.211970,-3.80,-4.22,1.58,4.41
csv,uni32x3,22,[32,32,32,128],113392,14.608882,1.566,287106.431743,9.00,-4.21,-3.30,4.40
csv,uni32x3,23,[32,32,32,256],139808,29.411135,1.731,285218.779349,34.39,-3.67,9.26,3.81
csv,uni32x3,24,[32,32,32,512],139808,59.068225,1.750,284031.150439,32.53,-3.19,11.81,3.29
csv,uni32x3,25,[32,32,32,1024],139808,118.104885,1.694,284107.063670,25.13,-3.33,4.26,3.44
csv,uni64x2x8,15,[64,64,8],74280,0.116786,1.277,280581.026381,90.81,-6.32,10.46,6.75
csv,uni64x2x8,16,[64,64,8,2],78240,0.226247,1.323,289666.098296,85.16,-6.45,12.22,6.89
csv,uni64x2x8,17,[64,64,8,4],78656,0.447075,1.291,293176.707590,42.62,-6.33,1.33,6.75
csv,uni64x2x8,18,[64,64,8,8],79488,0.887010,1.328,295536.695344,13.68,-6.45,-1.01,6.90
csv,uni64x2x8,19,[64,64,8,16],108816,1.767305,1.511,296659.686272,12.95,-6.36,1.92,6.79
csv,uni64x2x8,20,[64,64,8,32],112144,3.558114,1.564,294699.916976,16.41,-5.70,5.25,6.04
csv,uni64x2x8,21,[64,64,8,64],118800,7.221527,1.575,290402.863943,14.20,-5.60,0.68,5.93
csv,uni64x2x8,22,[64,64,8,128],133568,14.434623,1.666,290572.467186,28.39,-5.35,2.86,5.66
csv,uni64x2x8,23,[64,64,8,256],159984,28.865117,1.822,290614.026591,53.78,-5.46,15.02,5.77
csv,uni64x2x8,24,[64,64,8,512],159984,57.830964,1.759,290107.840008,51.66,-5.21,12.33,5.50
csv,uni64x2x8,25,[64,64,8,1024],187648,115.917647,1.933,289467.849768,67.95,-5.12,18.95,5.39
csv,hi128_32_8,15,[128,32,8],100904,0.115154,1.370,284557.496767,159.21,-7.63,18.50,8.26
csv,hi128_32_8,16,[128,32,8,2],104864,0.223991,1.383,292582.733498,148.16,-7.38,17.33,7.97
csv,hi128_32_8,17,[128,32,8,4],105280,0.441044,1.421,297185.820198,90.89,-7.59,11.50,8.21
csv,hi128_32_8,18,[128,32,8,8],112560,0.875300,1.461,299490.359135,60.98,-7.69,8.89,8.33
csv,hi128_32_8,19,[128,32,8,16],115680,1.744648,1.502,300512.140752,20.08,-7.56,1.31,8.18
csv,hi128_32_8,20,[128,32,8,32],119008,3.517005,1.538,298144.585666,23.53,-6.79,3.56,7.28
csv,hi128_32_8,21,[128,32,8,64],125664,7.148930,1.537,293351.869694,20.79,-6.55,-1.76,7.01
csv,hi128_32_8,22,[128,32,8,128],166848,14.274262,1.801,293836.843044,60.38,-6.41,11.18,6.84
csv,hi128_32_8,23,[128,32,8,256],199712,28.564716,1.955,293670.271080,91.97,-6.44,23.43,6.88
csv,hi128_32_8,24,[128,32,8,512],199712,57.301482,1.917,292788.516092,89.32,-6.08,22.48,6.48
csv,hi128_32_8,25,[128,32,8,1024],201168,114.604336,1.939,292785.013063,80.05,-6.19,19.29,6.60
