csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],29976,0.015496,1.036,132161.603698,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],34848,0.022962,1.076,178384.983538,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],43040,0.037481,1.163,218566.836549,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],44064,0.066613,1.163,245957.604799,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],47904,0.126068,1.221,259922.987186,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],52000,0.243164,1.232,269513.659115,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],67872,0.479166,1.353,273541.867017,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],86048,0.948428,1.445,276398.275314,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],118560,1.887599,1.626,277753.840849,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],118560,3.774766,1.624,277785.721906,0.00,0.00,0.00,0.00
csv,paper,21,[16,16,8,1024],128032,7.647711,1.755,274219.579650,0.00,0.00,0.00,0.00
csv,paper,22,[16,16,8,2048],128032,15.261856,1.765,274822.660441,0.00,0.00,0.00,0.00
csv,paper,23,[16,16,8,4096],128032,30.542080,1.721,274657.388239,0.00,0.00,0.00,0.00
csv,paper,24,[16,16,8,8192],129824,61.002243,1.738,275026.212824,0.00,0.00,0.00,0.00
csv,paper,25,[16,16,8,16384],137504,122.176872,1.836,274638.165866,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],50208,0.241388,1.201,271496.814393,-3.45,-0.73,-2.57,0.74
csv,mod16,17,[16,16,16,16,2],68648,0.474748,1.593,276087.381850,1.14,-0.92,17.75,0.93
csv,mod16,18,[16,16,16,16,4],69160,0.942354,1.584,278179.968589,-19.63,-0.64,9.59,0.64
csv,mod16,19,[16,16,16,16,8],70184,1.873908,1.582,279783.268548,-40.80,-0.73,-2.74,0.73
csv,mod16,20,[16,16,16,16,16],72232,3.776233,1.631,277677.810860,-39.08,0.04,0.47,-0.04
csv,mod16,21,[16,16,16,16,32],91688,7.648885,1.794,274177.492027,-28.39,0.02,2.20,-0.02
csv,mod16,22,[16,16,16,16,64],99880,15.247316,1.863,275084.751660,-21.99,-0.10,5.55,0.10
csv,mod16,23,[16,16,16,16,128],116264,30.517076,1.902,274882.426975,-9.19,-0.08,10.55,0.08
csv,mod16,24,[16,16,16,16,256],148776,61.024111,2.062,274927.657322,14.60,0.04,18.60,-0.04
csv,mod16,25,[16,16,16,16,512],164136,122.227009,2.218,274525.509264,19.37,0.04,20.80,-0.04
csv,uni32x3,15,[32,32,32],56600,0.119932,1.186,273220.856580,18.15,-4.87,-2.85,5.12
csv,uni32x3,16,[32,32,32,2],83488,0.230631,1.385,284159.206075,60.55,-5.15,12.42,5.43
csv,uni32x3,17,[32,32,32,4],84000,0.459356,1.409,285338.385829,23.76,-4.13,4.14,4.31
csv,uni32x3,18,[32,32,32,8],85024,0.910421,1.372,287937.108448,-1.19,-4.01,-5.06,4.17
csv,uni32x3,19,[32,32,32,16],87072,1.790326,1.429,292844.917126,-26.56,-5.15,-12.13,5.43
csv,uni32x3,20,[32,32,32,32],91168,3.612402,1.489,290271.109400,-23.10,-4.30,-8.32,4.49
csv,uni32x3,21,[32,32,32,64],123168,7.325864,1.696,286266.851143,-3.80,-4.21,-3.34,4.39
csv,uni32x3,22,[32,32,32,128],139552,14.606038,1.725,287162.345587,9.00,-4.30,-2.27,4.49
csv,uni32x3,23,[32,32,32,256],172064,29.395016,1.884,285375.183725,34.39,-3.76,9.52,3.90
csv,uni32x3,24,[32,32,32,512],172064,59.130840,1.895,283730.386089,32.54,-3.07,9.02,3.16
csv,uni32x3,25,[32,32,32,1024],172064,118.180245,1.905,283925.896457,25.13,-3.27,3.73,3.38
csv,uni64x2x8,15,[64,64,8],91416,0.118061,1.381,277551.936021,90.83,-6.35,13.10,6.78
csv,uni64x2x8,16,[64,64,8,2],96288,0.228077,1.390,287341.088301,85.17,-6.20,12.78,6.61
csv,uni64x2x8,17,[64,64,8,4],96800,0.448493,1.411,292249.675378,42.62,-6.40,4.29,6.84
csv,uni64x2x8,18,[64,64,8,8],97824,0.888766,1.448,294952.685958,13.69,-6.29,0.15,6.71
csv,uni64x2x8,19,[64,64,8,16],133920,1.767601,1.634,296609.991092,12.96,-6.36,0.46,6.79
csv,uni64x2x8,20,[64,64,8,32],138016,3.562527,1.652,294334.898585,16.41,-5.62,1.72,5.96
csv,uni64x2x8,21,[64,64,8,64],146208,7.231582,1.747,289999.077524,14.20,-5.44,-0.47,5.75
csv,uni64x2x8,22,[64,64,8,128],164384,14.446999,1.824,290323.544337,28.39,-5.34,3.34,5.64
csv,uni64x2x8,23,[64,64,8,256],196896,28.891327,1.967,290350.384937,53.79,-5.40,14.30,5.71
csv,uni64x2x8,24,[64,64,8,512],196896,57.875986,1.960,289882.164925,51.66,-5.12,12.75,5.40
csv,uni64x2x8,25,[64,64,8,1024],230944,115.887163,2.191,289543.992684,67.95,-5.15,19.33,5.43
csv,hi128_32_8,15,[128,32,8],124184,0.116711,1.541,280761.915592,159.24,-7.42,26.18,8.02
csv,hi128_32_8,16,[128,32,8,2],129056,0.225266,1.525,290927.308734,148.18,-7.36,23.73,7.95
csv,hi128_32_8,17,[128,32,8,4],129568,0.442532,1.550,296186.512555,90.90,-7.65,14.52,8.28
csv,hi128_32_8,18,[128,32,8,8],138528,0.876110,1.562,299213.551655,60.99,-7.63,8.10,8.25
csv,hi128_32_8,19,[128,32,8,16],142368,1.745897,1.612,300297.282499,20.08,-7.51,-0.90,8.12
csv,hi128_32_8,20,[128,32,8,32],146464,3.521477,1.673,297765.940279,23.54,-6.71,3.05,7.19
csv,hi128_32_8,21,[128,32,8,64],154656,7.154853,1.702,293109.033106,20.79,-6.44,-3.01,6.89
csv,hi128_32_8,22,[128,32,8,128],205344,14.280786,1.953,293702.600022,60.38,-6.43,10.63,6.87
csv,hi128_32_8,23,[128,32,8,256],245792,28.557325,2.208,293746.275539,91.98,-6.50,28.32,6.95
csv,hi128_32_8,24,[128,32,8,512],245792,57.334939,2.157,292617.667470,89.33,-6.01,24.05,6.40
csv,hi128_32_8,25,[128,32,8,1024],247584,114.606993,2.155,292778.224383,80.06,-6.20,17.37,6.61
