csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],53168,0.040300,3.064,50818.728677,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],64384,0.061628,3.714,66463.586011,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],79936,0.103222,3.993,79362.808873,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],90144,0.186140,4.010,88019.669345,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],98288,0.353045,4.129,92815.326412,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],110640,0.691303,4.220,94800.629969,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],131440,1.365574,4.658,95983.090456,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],155840,2.723330,5.119,96258.637311,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],196528,5.437014,5.942,96429.403861,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],212336,10.904406,5.932,96160.760120,0.00,0.00,0.00,0.00
csv,paper,21,[16,16,8,1024],246240,21.930036,6.241,95629.209085,0.00,0.00,0.00,0.00
csv,paper,22,[16,16,8,2048],268448,44.183329,6.247,94929.559712,0.00,0.00,0.00,0.00
csv,paper,23,[16,16,8,4096],294272,88.528318,6.254,94756.210738,0.00,0.00,0.00,0.00
csv,paper,24,[16,16,8,8192],325072,177.586913,6.356,94473.267597,0.00,0.00,0.00,0.00
csv,paper,25,[16,16,8,16384],358832,357.405198,6.558,93883.447081,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],110240,0.685461,4.166,95608.609165,-0.36,-0.85,-1.28,0.85
csv,mod16,17,[16,16,16,16,2],136064,1.358184,5.241,96505.323858,3.52,-0.54,12.51,0.54
csv,mod16,18,[16,16,16,16,4],147840,2.705943,5.298,96877.117678,-5.13,-0.64,3.50,0.64
csv,mod16,19,[16,16,16,16,8],161920,5.417520,5.316,96776.390947,-17.61,-0.36,-10.53,0.36
csv,mod16,20,[16,16,16,16,16],172640,10.919918,5.370,96024.161110,-18.69,0.14,-9.48,-0.14
csv,mod16,21,[16,16,16,16,32],204288,21.910423,5.932,95714.811004,-17.04,-0.09,-4.96,0.09
csv,mod16,22,[16,16,16,16,64],225184,44.138809,6.153,95025.310002,-16.12,-0.10,-1.50,0.10
csv,mod16,23,[16,16,16,16,128],248128,88.432343,6.519,94859.049621,-15.68,-0.11,4.24,0.11
csv,mod16,24,[16,16,16,16,256],292560,177.635239,7.313,94447.566119,-10.00,0.03,15.06,-0.03
csv,mod16,25,[16,16,16,16,512],328656,357.395522,7.806,93885.988922,-8.41,-0.00,19.03,0.00
csv,uni32x3,15,[32,32,32],121296,0.338382,3.703,96837.219802,23.41,-4.15,-10.31,4.33
csv,uni32x3,16,[32,32,32,2],153376,0.664183,4.961,98671.548162,38.63,-3.92,17.55,4.08
