csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],24360,0.022726,1.869,90118.553421,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],28320,0.029914,1.867,136924.961544,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],34976,0.045584,2.017,179710.685540,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],35808,0.076818,1.935,213283.822604,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],38928,0.139938,1.982,234160.586641,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],42256,0.264264,1.996,247993.974673,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],55152,0.515486,2.105,254268.999721,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],69920,1.016930,2.185,257779.881977,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],96336,2.018982,2.393,259679.368699,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],96336,4.024972,2.415,260517.561315,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],40800,0.263415,2.008,248793.777641,-3.45,-0.32,0.62,0.32
csv,mod16,17,[16,16,16,16,2],55784,0.512746,2.526,255627.458428,1.15,-0.53,20.02,0.53
csv,mod16,18,[16,16,16,16,4],56200,1.012853,2.528,258817.452668,-19.62,-0.40,15.70,0.40
csv,mod16,19,[16,16,16,16,8],57032,2.011278,2.566,260673.999622,-40.80,-0.38,7.22,0.38
csv,mod16,20,[16,16,16,16,16],58696,4.025415,2.577,260488.902615,-39.07,0.01,6.69,-0.01
csv,uni32x3,15,[32,32,32],45992,0.133849,1.995,244812.639959,18.15,-4.35,0.66,4.55
csv,uni32x3,16,[32,32,32,2],67840,0.252858,2.146,259181.158150,60.55,-4.32,7.54,4.51
csv,uni32x3,17,[32,32,32,4],68256,0.492092,2.152,266356.548678,23.76,-4.54,2.24,4.75
csv,uni32x3,18,[32,32,32,8],69088,0.970495,2.178,270113.781402,-1.19,-4.57,-0.33,4.78
csv,uni32x3,19,[32,32,32,16],70752,1.927675,2.177,271979.438212,-26.56,-4.52,-9.03,4.74
csv,uni32x3,20,[32,32,32,32],74080,3.858162,2.216,271781.227243,-23.10,-4.14,-8.24,4.32
csv,uni64x2x8,15,[64,64,8],74280,0.130378,2.118,251329.849604,90.81,-6.83,6.89,7.33
csv,uni64x2x8,16,[64,64,8,2],78240,0.248829,2.179,263377.582637,85.16,-5.84,9.19,6.20
csv,uni64x2x8,17,[64,64,8,4],78656,0.482624,2.171,271582.144349,42.62,-6.37,3.14,6.81
csv,uni64x2x8,18,[64,64,8,8],79488,0.950807,2.171,275706.848660,13.68,-6.50,-0.63,6.95
csv,uni64x2x8,19,[64,64,8,16],108816,1.898485,2.394,276161.316427,12.95,-5.97,0.03,6.35
csv,uni64x2x8,20,[64,64,8,32],112144,3.822852,2.463,274291.533438,16.41,-5.02,1.98,5.29
csv,hi128_32_8,15,[128,32,8],100904,0.128853,2.240,254304.928512,159.21,-7.92,13.02,8.60
csv,hi128_32_8,16,[128,32,8,2],104864,0.243187,2.279,269487.673856,148.16,-7.98,14.20,8.67
csv,hi128_32_8,17,[128,32,8,4],105280,0.477285,2.279,274620.099312,90.89,-7.41,8.26,8.00
csv,hi128_32_8,18,[128,32,8,8],112560,0.939005,2.341,279172.242416,60.98,-7.66,7.15,8.30
csv,hi128_32_8,19,[128,32,8,16],115680,1.887631,2.390,277749.210517,20.08,-6.51,-0.14,6.96
csv,hi128_32_8,20,[128,32,8,32],119008,3.804768,2.430,275595.239134,23.53,-5.47,0.60,5.79
