csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],24360,0.023474,1.945,87245.444482,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],28320,0.031978,2.093,128087.239418,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],34976,0.048747,2.142,168052.273940,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],35808,0.081538,2.076,200938.191503,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],38928,0.140074,1.975,233934.305624,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],42256,0.267350,2.010,245131.398524,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],55152,0.532077,2.153,246340.399690,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],69920,1.037297,2.248,252718.364426,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],96336,2.082263,2.575,251787.629231,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],96336,4.161733,2.589,251956.592847,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],40800,0.277995,2.099,235745.068285,-3.45,3.98,4.41,-3.83
csv,mod16,17,[16,16,16,16,2],55784,0.532152,2.751,246305.465930,1.15,0.01,27.75,-0.01
csv,mod16,18,[16,16,16,16,4],56200,1.051574,2.577,249287.148913,-19.62,1.38,14.62,-1.36
csv,mod16,19,[16,16,16,16,8],57032,2.077798,2.628,252328.622364,-40.80,-0.21,2.05,0.21
csv,mod16,20,[16,16,16,16,16],58696,4.087229,2.739,256549.375810,-39.07,-1.79,5.78,1.82
csv,uni32x3,15,[32,32,32],45992,0.138608,2.066,236406.948561,18.15,-1.05,4.63,1.06
csv,uni32x3,16,[32,32,32,2],67840,0.260536,2.339,251542.884124,60.55,-2.55,16.34,2.62
csv,uni32x3,17,[32,32,32,4],68256,0.509718,2.388,257146.006334,23.76,-4.20,10.87,4.39
csv,uni32x3,18,[32,32,32,8],69088,0.975476,2.171,268734.306849,-1.19,-5.96,-3.46,6.34
csv,uni32x3,19,[32,32,32,16],70752,1.995039,2.391,262795.895572,-26.56,-4.19,-7.15,4.37
csv,uni32x3,20,[32,32,32,32],74080,3.961305,2.352,264704.656494,-23.10,-4.82,-9.16,5.06
csv,uni64x2x8,15,[64,64,8],74280,0.137030,2.229,239129.918552,90.81,-2.17,12.87,2.22
csv,uni64x2x8,16,[64,64,8,2],78240,0.258227,2.386,253792.593316,85.16,-3.41,18.69,3.53
csv,uni64x2x8,17,[64,64,8,4],78656,0.497019,2.218,263716.456843,42.62,-6.59,2.98,7.05
csv,uni64x2x8,18,[64,64,8,8],79488,0.981513,2.175,267081.645208,13.68,-5.38,-3.25,5.68
csv,uni64x2x8,19,[64,64,8,16],108816,1.958435,2.445,267707.592073,12.95,-5.95,-5.05,6.32
csv,uni64x2x8,20,[64,64,8,32],112144,3.894242,2.598,269263.168187,16.41,-6.43,0.36,6.87
csv,hi128_32_8,15,[128,32,8],100904,0.135541,2.367,241756.940827,159.21,-3.24,19.86,3.34
csv,hi128_32_8,16,[128,32,8,2],104864,0.253328,2.388,258699.928882,148.16,-5.24,18.81,5.54
csv,hi128_32_8,17,[128,32,8,4],105280,0.499200,2.405,262564.318212,90.89,-6.18,11.66,6.59
csv,hi128_32_8,18,[128,32,8,8],112560,0.966011,2.422,271367.374345,60.98,-6.87,7.72,7.38
csv,hi128_32_8,19,[128,32,8,16],115680,1.942872,2.367,269851.999765,20.08,-6.69,-8.10,7.17
csv,hi128_32_8,20,[128,32,8,32],119008,3.939787,2.716,266150.446036,23.53,-5.33,4.91,5.63
