csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],53168,0.089875,8.974,22787.108105,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],64384,0.116104,9.864,35278.782482,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],79936,0.161617,10.837,50687.840241,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],90144,0.269970,11.206,60688.166620,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],98288,0.446546,10.373,73381.083589,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],110640,0.855642,11.649,76592.740344,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],131440,1.689568,12.117,77577.232214,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],155840,3.251939,12.941,80611.586289,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],196528,6.602690,12.656,79405.213273,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],212336,12.396992,12.618,84583.099032,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],109344,0.813677,10.384,80542.996262,-1.17,-4.90,-10.86,5.16
csv,mod16,17,[16,16,16,16,2],139840,1.576102,12.757,83162.132480,6.39,-6.72,5.28,7.20
csv,mod16,18,[16,16,16,16,4],149696,3.124101,13.122,83910.225872,-3.94,-3.93,1.40,4.09
csv,mod16,19,[16,16,16,16,8],160896,6.244130,13.193,83964.934399,-18.13,-5.43,4.24,5.74
csv,mod16,20,[16,16,16,16,16],173632,12.390495,13.071,84627.447768,-18.23,-0.05,3.59,0.05
csv,uni32x3,15,[32,32,32],119376,0.420631,8.802,77902.083020,21.46,-5.80,-15.14,6.16
csv,uni32x3,16,[32,32,32,2],155296,0.786565,11.391,83319.262126,40.36,-8.07,-2.22,8.78
csv,uni32x3,17,[32,32,32,4],163072,1.519816,11.426,86242.026999,24.07,-10.05,-5.70,11.17
csv,uni32x3,18,[32,32,32,8],180320,2.994147,11.471,87552.133040,15.71,-7.93,-11.35,8.61
csv,uni32x3,19,[32,32,32,16],198080,5.978677,11.522,87692.982149,0.79,-9.45,-8.96,10.44
csv,uni32x3,20,[32,32,32,32],218240,11.928220,11.690,87907.162229,2.78,-3.78,-7.36,3.93
csv,uni64x2x8,15,[64,64,8],166608,0.413527,9.821,79240.365218,69.51,-7.39,-5.32,7.98
csv,uni64x2x8,16,[64,64,8,2],198624,0.772182,11.673,84871.228831,79.52,-9.75,0.20,10.81
csv,uni64x2x8,17,[64,64,8,4],218752,1.489146,11.730,88018.222926,66.43,-11.86,-3.20,13.46
csv,uni64x2x8,18,[64,64,8,8],232736,2.936307,11.743,89276.767005,49.34,-9.71,-9.26,10.75
csv,uni64x2x8,19,[64,64,8,16],280144,5.858169,12.950,89496.905318,42.55,-11.28,2.33,12.71
csv,uni64x2x8,20,[64,64,8,32],299632,11.714254,13.075,89512.829249,41.11,-5.51,3.62,5.83
csv,hi128_32_8,15,[128,32,8],231920,0.413521,12.529,79241.434669,135.96,-7.40,20.79,7.99
csv,hi128_32_8,16,[128,32,8,2],248672,0.766032,12.647,85552.545244,124.76,-10.47,8.57,11.70
csv,hi128_32_8,17,[128,32,8,4],265568,1.476538,12.670,88769.837518,102.05,-12.61,4.56,14.43
csv,hi128_32_8,18,[128,32,8,8],304656,2.915942,12.992,89900.272626,95.49,-10.33,0.40,11.52
csv,hi128_32_8,19,[128,32,8,16],338944,5.788109,13.102,90580.191157,72.47,-12.34,3.53,14.07
csv,hi128_32_8,20,[128,32,8,32],369088,11.618846,13.290,90247.861943,73.82,-6.28,5.33,6.70
