csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],63648,0.093672,8.210,21863.537556,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],77920,0.118498,10.105,34565.964109,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],96896,0.165548,10.493,49484.248128,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],106496,0.259173,10.557,63216.530132,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],118176,0.449277,10.746,72934.995661,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],131520,0.827315,10.917,79215.260960,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],159296,1.590179,11.590,82425.954412,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],187712,3.116969,12.290,84102.214402,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],237568,6.194399,13.535,84639.044459,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],254048,12.383645,13.519,84674.258932,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],132096,0.829167,10.789,79038.322533,0.44,0.22,-1.17,-0.22
csv,mod16,17,[16,16,16,16,2],167264,1.591624,13.321,82351.083215,5.00,0.09,14.93,-0.09
csv,mod16,18,[16,16,16,16,4],180512,3.120311,13.329,84012.133095,-3.84,0.11,8.46,-0.11
csv,mod16,19,[16,16,16,16,8],193760,6.209312,13.544,84435.764908,-18.44,0.24,0.06,-0.24
csv,mod16,20,[16,16,16,16,16],208064,12.379814,13.499,84700.467077,-18.10,-0.03,-0.15,0.03
csv,uni32x3,15,[32,32,32],143936,0.433531,9.278,75583.927649,21.80,-3.50,-13.66,3.63
csv,uni32x3,16,[32,32,32,2],187552,0.801848,11.984,81731.195728,42.60,-3.08,9.77,3.18
csv,uni32x3,17,[32,32,32,4],197344,1.538704,12.038,85183.349856,23.89,-3.24,3.86,3.35
csv,uni32x3,18,[32,32,32,8],214816,3.012354,12.118,87022.985963,14.44,-3.36,-1.39,3.47
csv,uni32x3,19,[32,32,32,16],239040,5.966723,12.212,87868.667844,0.62,-3.68,-9.78,3.82
csv,uni32x3,20,[32,32,32,32],265824,11.939137,12.365,87826.781290,4.64,-3.59,-8.54,3.72
csv,uni64x2x8,15,[64,64,8],197792,0.425913,10.471,76935.848212,67.37,-5.20,-2.56,5.49
csv,uni64x2x8,16,[64,64,8,2],239520,0.784650,12.353,83522.611298,82.12,-5.16,13.16,5.44
csv,uni64x2x8,17,[64,64,8,4],257792,1.513830,12.400,86583.051109,61.83,-4.80,6.99,5.04
csv,uni64x2x8,18,[64,64,8,8],280032,2.963317,12.468,88463.036610,49.18,-4.93,1.45,5.19
csv,uni64x2x8,19,[64,64,8,16],340608,5.857389,13.943,89508.821489,43.37,-5.44,3.02,5.75
csv,uni64x2x8,20,[64,64,8,32],362976,11.728544,14.080,89403.763242,42.88,-5.29,4.15,5.59
csv,hi128_32_8,15,[128,32,8],281504,0.425333,11.653,77040.845331,138.21,-5.33,8.44,5.63
csv,hi128_32_8,16,[128,32,8,2],295840,0.783848,13.554,83608.072377,124.94,-5.25,24.16,5.55
csv,hi128_32_8,17,[128,32,8,4],319840,1.500809,13.552,87334.236483,100.78,-5.62,16.92,5.95
csv,hi128_32_8,18,[128,32,8,8],366784,2.941222,13.998,89127.595153,95.40,-5.64,13.90,5.98
csv,hi128_32_8,19,[128,32,8,16],415168,5.808954,14.203,90255.151602,74.76,-6.22,4.93,6.64
csv,hi128_32_8,20,[128,32,8,32],445376,11.624281,14.336,90205.666645,75.31,-6.13,6.04,6.53
