csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],97120,0.133544,8.981,15335.770518,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],119200,0.158490,11.009,25843.893670,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],145472,0.205592,11.664,39845.914409,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],163776,0.299822,11.764,54645.679386,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],180384,0.489508,12.056,66940.643777,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],200160,0.867906,12.302,75510.447706,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],247328,1.629080,13.395,80457.671166,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],288576,3.161568,14.546,82915.827195,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],364032,6.234824,16.553,84090.268784,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],391136,12.424182,16.522,84397.990318,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],200928,0.868257,12.114,75479.915570,0.38,0.04,-1.52,-0.04
csv,mod16,17,[16,16,16,16,2],256864,1.629232,15.156,80450.159200,3.86,0.01,13.15,-0.01
csv,mod16,18,[16,16,16,16,4],278560,3.158392,15.228,82999.203682,-3.47,-0.10,4.69,0.10
csv,mod16,19,[16,16,16,16,8],298528,6.221219,15.332,84274.159904,-17.99,-0.22,-7.38,0.22
csv,mod16,20,[16,16,16,16,16],323328,12.425680,15.446,84387.814230,-17.34,0.01,-6.51,-0.01
csv,uni32x3,15,[32,32,32],214048,0.473917,10.587,69142.957574,18.66,-3.19,-12.19,3.29
csv,uni32x3,16,[32,32,32,2],286528,0.841703,14.088,77861.216167,43.15,-3.02,14.52,3.11
csv,uni32x3,17,[32,32,32,4],303488,1.574435,14.161,83250.164256,22.71,-3.35,5.72,3.47
csv,uni32x3,18,[32,32,32,8],335264,3.044048,14.194,86116.901828,16.18,-3.72,-2.42,3.86
csv,uni32x3,19,[32,32,32,16],363040,6.008093,14.383,87263.625727,-0.27,-3.64,-13.11,3.77
csv,uni32x3,20,[32,32,32,32],410464,11.966909,14.650,87622.964391,4.94,-3.68,-11.33,3.82
csv,uni64x2x8,15,[64,64,8],297632,0.467688,12.643,70063.842319,65.00,-4.46,4.87,4.67
csv,uni64x2x8,16,[64,64,8,2],346976,0.831415,14.744,78824.653406,73.35,-4.20,19.85,4.39
csv,uni64x2x8,17,[64,64,8,4],389984,1.543564,14.770,84915.157198,57.68,-5.25,10.26,5.54
csv,uni64x2x8,18,[64,64,8,8],432864,3.009076,14.854,87117.778097,50.00,-4.82,2.12,5.07
csv,uni64x2x8,19,[64,64,8,16],538304,5.925193,17.174,88484.545970,47.87,-4.97,3.75,5.23
csv,uni64x2x8,20,[64,64,8,32],568576,11.895644,17.480,88147.895145,45.37,-4.25,5.80,4.44
csv,hi128_32_8,15,[128,32,8],434720,0.476303,15.136,68796.576164,141.00,-2.70,25.54,2.77
csv,hi128_32_8,16,[128,32,8,2],468544,0.830172,16.633,78942.705277,134.08,-4.35,35.21,4.55
csv,hi128_32_8,17,[128,32,8,4],494080,1.545971,16.979,84782.957095,99.77,-5.10,26.76,5.38
csv,hi128_32_8,18,[128,32,8,8],561696,3.019449,17.396,86818.485015,94.64,-4.50,19.59,4.71
csv,hi128_32_8,19,[128,32,8,16],630688,5.906348,17.736,88766.862340,73.25,-5.27,7.15,5.56
csv,hi128_32_8,20,[128,32,8,32],691552,11.802378,17.912,88844.468974,76.81,-5.00,8.41,5.27
