csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,"[16,16,8]",97120,0.133729,8.968,15314.512261,0.00,0.00,0.00,0.00
csv,paper,12,"[16,16,8,2]",119200,0.158445,11.093,25851.236861,0.00,0.00,0.00,0.00
csv,paper,13,"[16,16,8,4]",145472,0.205931,11.660,39780.236724,0.00,0.00,0.00,0.00
csv,paper,14,"[16,16,8,8]",163776,0.299973,11.816,54618.316344,0.00,0.00,0.00,0.00
csv,paper,15,"[16,16,8,16]",180384,0.489677,12.053,66917.647736,0.00,0.00,0.00,0.00
csv,paper,16,"[16,16,8,32]",200160,0.868539,12.282,75455.478633,0.00,0.00,0.00,0.00
csv,paper,17,"[16,16,8,64]",247328,1.631852,13.401,80321.012703,0.00,0.00,0.00,0.00
csv,paper,18,"[16,16,8,128]",288576,3.163588,14.575,82862.870083,0.00,0.00,0.00,0.00
csv,paper,19,"[16,16,8,256]",364032,6.244184,16.565,83964.214021,0.00,0.00,0.00,0.00
csv,paper,20,"[16,16,8,512]",391136,12.437192,16.549,84309.707426,0.00,0.00,0.00,0.00
csv,mod16,16,"[16,16,16,16]",200928,0.868062,12.122,75496.926818,0.38,-0.05,-1.30,0.05
csv,mod16,17,"[16,16,16,16,2]",256864,1.629081,15.177,80457.621679,3.86,-0.17,13.25,0.17
csv,mod16,18,"[16,16,16,16,4]",278560,3.157533,15.198,83021.763980,-3.47,-0.19,4.27,0.19
csv,mod16,19,"[16,16,16,16,8]",298528,6.226630,15.317,84200.929153,-17.99,-0.28,-7.53,0.28
csv,mod16,20,"[16,16,16,16,16]",323328,12.423395,15.456,84403.339037,-17.34,-0.11,-6.60,0.11
csv,uni32x3,15,"[32,32,32]",214048,0.473281,10.598,69235.856730,18.66,-3.35,-12.07,3.46
csv,uni32x3,16,"[32,32,32,2]",286528,0.841743,14.129,77857.481388,43.15,-3.09,15.03,3.18
csv,uni32x3,17,"[32,32,32,4]",303488,1.573242,14.124,83313.322423,22.71,-3.59,5.39,3.73
csv,uni32x3,18,"[32,32,32,8]",335264,3.043033,14.263,86145.643737,16.18,-3.81,-2.14,3.96
csv,uni32x3,19,"[32,32,32,16]",363040,6.010512,14.408,87228.503398,-0.27,-3.74,-13.02,3.89
csv,uni32x3,20,"[32,32,32,32]",410464,11.981575,14.612,87515.707080,4.94,-3.66,-11.70,3.80
csv,uni64x2x8,15,"[64,64,8]",297632,0.467982,12.667,70019.745042,65.00,-4.43,5.10,4.64
csv,uni64x2x8,16,"[64,64,8,2]",346976,0.832271,14.759,78743.551475,73.35,-4.18,20.17,4.36
csv,uni64x2x8,17,"[64,64,8,4]",389984,1.544072,14.797,84887.237691,57.68,-5.38,10.41,5.68
csv,uni64x2x8,18,"[64,64,8,8]",432864,3.010519,14.867,87076.028783,50.00,-4.84,2.00,5.08
csv,uni64x2x8,19,"[64,64,8,16]",538304,5.915989,17.187,88622.203451,47.87,-5.26,3.76,5.55
csv,uni64x2x8,20,"[64,64,8,32]",568576,11.799010,17.447,88869.828435,45.37,-5.13,5.43,5.41
csv,hi128_32_8,15,"[128,32,8]",434720,0.470694,14.588,69616.360972,141.00,-3.88,21.04,4.03
csv,hi128_32_8,16,"[128,32,8,2]",468544,0.823756,16.624,79557.516766,134.08,-5.16,35.35,5.44
csv,hi128_32_8,17,"[128,32,8,4]",494080,1.535186,16.661,85378.599666,99.77,-5.92,24.32,6.30
csv,hi128_32_8,18,"[128,32,8,8]",561696,2.986902,17.325,87764.500769,94.64,-5.58,18.86,5.92
csv,hi128_32_8,19,"[128,32,8,16]",630688,5.874692,17.572,89245.196793,73.25,-5.92,6.08,6.29
csv,hi128_32_8,20,"[128,32,8,32]",691552,11.703835,17.866,89592.516938,76.81,-5.90,7.96,6.27
