csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],29976,0.015611,1.033,131190.999682,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],34848,0.022952,1.096,178459.844487,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],43040,0.037454,1.193,218722.869900,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],44064,0.066595,1.191,246023.718975,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],47904,0.125978,1.215,260109.768894,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],52000,0.243287,1.237,269376.921185,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],67872,0.478391,1.384,273985.111566,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],86048,0.948709,1.449,276316.519371,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],118560,1.886957,1.616,277848.440204,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],118560,3.774814,1.676,277782.194037,0.00,0.00,0.00,0.00
csv,paper,21,[16,16,8,1024],128032,7.650366,1.753,274124.409896,0.00,0.00,0.00,0.00
csv,paper,22,[16,16,8,2048],128032,15.263249,1.764,274797.590570,0.00,0.00,0.00,0.00
csv,paper,23,[16,16,8,4096],128032,30.543856,1.774,274641.423523,0.00,0.00,0.00,0.00
csv,paper,24,[16,16,8,8192],129824,61.006938,1.725,275005.048993,0.00,0.00,0.00,0.00
csv,paper,25,[16,16,8,16384],137504,122.206238,1.840,274572.169353,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],50208,0.241612,1.266,271244.846137,-3.45,-0.69,2.39,0.69
csv,mod16,17,[16,16,16,16,2],68648,0.474311,1.643,276341.816333,1.14,-0.85,18.76,0.86
csv,mod16,18,[16,16,16,16,4],69160,0.943337,1.630,277890.199354,-19.63,-0.57,12.55,0.57
csv,mod16,19,[16,16,16,16,8],70184,1.875470,1.621,279550.195286,-40.80,-0.61,0.30,0.61
csv,mod16,20,[16,16,16,16,16],72232,3.776657,1.649,277646.572545,-39.08,0.05,-1.60,-0.05
csv,mod16,21,[16,16,16,16,32],91688,7.651254,1.860,274092.578736,-28.39,0.01,6.09,-0.01
csv,mod16,22,[16,16,16,16,64],99880,15.251412,1.834,275010.873512,-21.99,-0.08,3.93,0.08
csv,mod16,23,[16,16,16,16,128],116264,30.524715,1.871,274813.637548,-9.19,-0.06,5.46,0.06
csv,mod16,24,[16,16,16,16,256],148776,61.038266,2.053,274863.903777,14.60,0.05,19.04,-0.05
csv,mod16,25,[16,16,16,16,512],164136,122.301784,2.225,274357.666073,19.37,0.08,20.95,-0.08
csv,uni32x3,15,[32,32,32],56600,0.119839,1.212,273434.082322,18.15,-4.87,-0.21,5.12
csv,uni32x3,16,[32,32,32,2],83488,0.230909,1.434,283816.978567,60.55,-5.09,15.94,5.36
csv,uni32x3,17,[32,32,32,4],84000,0.460499,1.458,284630.197150,23.76,-3.74,5.36,3.89
csv,uni32x3,18,[32,32,32,8],85024,0.908158,1.442,288654.736561,-1.19,-4.27,-0.43,4.47
csv,uni32x3,19,[32,32,32,16],87072,1.791339,1.453,292679.467636,-26.56,-5.07,-10.13,5.34
csv,uni32x3,20,[32,32,32,32],91168,3.611891,1.557,290312.227726,-23.10,-4.32,-7.07,4.51
csv,uni32x3,21,[32,32,32,64],123168,7.327122,1.698,286217.696657,-3.80,-4.23,-3.15,4.41
csv,uni32x3,22,[32,32,32,128],139552,14.611660,1.776,287051.838911,9.00,-4.27,0.68,4.46
csv,uni32x3,23,[32,32,32,256],172064,29.410381,1.888,285226.094577,34.39,-3.71,6.41,3.85
csv,uni32x3,24,[32,32,32,512],172064,59.135613,1.913,283707.484393,32.54,-3.07,10.91,3.16
csv,uni32x3,25,[32,32,32,1024],172064,118.177163,1.932,283933.300313,25.13,-3.30,5.03,3.41
csv,uni64x2x8,15,[64,64,8],91416,0.118037,1.367,277608.042758,90.83,-6.30,12.52,6.73
csv,uni64x2x8,16,[64,64,8,2],96288,0.227461,1.426,288120.228294,85.17,-6.51,15.28,6.96
csv,uni64x2x8,17,[64,64,8,4],96800,0.448238,1.437,292415.961840,42.62,-6.30,3.85,6.73
csv,uni64x2x8,18,[64,64,8,8],97824,0.887899,1.429,295240.937819,13.69,-6.41,-1.36,6.85
