csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],48696,0.019819,1.166,103335.772589,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],56608,0.027263,1.197,150242.363013,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],69920,0.041929,1.384,195377.565237,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],71584,0.070935,1.387,230970.684894,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],77824,0.130068,1.415,251929.994184,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],84480,0.247605,1.479,264680.136482,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],110272,0.483539,1.670,271068.270059,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],139808,0.953765,1.820,274851.882322,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],192640,1.892591,2.060,277021.351045,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],192640,3.784524,2.105,277069.444192,0.00,0.00,0.00,0.00
csv,paper,21,[16,16,8,1024],208032,7.650197,2.264,274130.467818,0.00,0.00,0.00,0.00
csv,paper,22,[16,16,8,2048],208032,15.257817,2.298,274895.415037,0.00,0.00,0.00,0.00
csv,paper,23,[16,16,8,4096],208032,30.555460,2.292,274537.117001,0.00,0.00,0.00,0.00
csv,paper,24,[16,16,8,8192],210944,61.027930,2.288,274910.454155,0.00,0.00,0.00,0.00
csv,paper,25,[16,16,8,16384],223424,122.185024,2.373,274619.842504,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],81568,0.245582,1.484,266860.225027,-3.45,-0.82,0.39,0.82
csv,mod16,17,[16,16,16,16,2],111528,0.478882,1.902,273704.112140,1.14,-0.96,13.86,0.97
csv,mod16,18,[16,16,16,16,4],112360,0.947016,1.923,276810.537257,-19.63,-0.71,5.67,0.71
csv,mod16,19,[16,16,16,16,8],114024,1.880471,1.936,278806.708246,-40.81,-0.64,-6.03,0.64
csv,mod16,20,[16,16,16,16,16],117352,3.776831,1.989,277633.799129,-39.08,-0.20,-5.51,0.20
csv,mod16,21,[16,16,16,16,32],148968,7.653632,2.249,274007.412391,-28.39,0.04,-0.65,-0.04
csv,mod16,22,[16,16,16,16,64],162280,15.249917,2.299,275037.821369,-21.99,-0.05,0.01,0.05
csv,mod16,23,[16,16,16,16,128],188904,30.506232,2.458,274980.137445,-9.19,-0.16,7.25,0.16
csv,mod16,24,[16,16,16,16,256],241736,61.017050,2.650,274959.476380,14.60,-0.02,15.78,0.02
csv,mod16,25,[16,16,16,16,512],266696,122.336196,2.938,274280.492349,19.37,0.12,23.81,-0.12
csv,uni32x3,15,[32,32,32],91960,0.124258,1.416,263708.413242,18.16,-4.47,0.06,4.68
csv,uni32x3,16,[32,32,32,2],135648,0.235549,1.730,278226.899233,60.57,-4.87,16.99,5.12
csv,uni32x3,17,[32,32,32,4],136480,0.463305,1.732,282906.365174,23.77,-4.18,3.68,4.37
csv,uni32x3,18,[32,32,32,8],138144,0.913584,1.739,286940.280332,-1.19,-4.21,-4.41,4.40
csv,uni32x3,19,[32,32,32,16],141472,1.796740,1.740,291799.544848,-26.56,-5.06,-15.52,5.33
csv,uni32x3,20,[32,32,32,32],148128,3.619214,1.793,289724.766415,-23.11,-4.37,-14.83,4.57
csv,uni32x3,21,[32,32,32,64],200128,7.334242,2.159,285939.851460,-3.80,-4.13,-4.63,4.31
csv,uni32x3,22,[32,32,32,128],226752,14.611581,2.271,287053.407605,9.00,-4.24,-1.18,4.42
csv,uni32x3,23,[32,32,32,256],279584,29.408969,2.448,285239.786288,34.39,-3.75,6.82,3.90
csv,uni32x3,24,[32,32,32,512],279584,59.097868,2.520,283888.685506,32.54,-3.16,10.14,3.27
csv,uni32x3,25,[32,32,32,1024],279584,118.214687,2.541,283843.175151,25.14,-3.25,7.07,3.36
csv,uni64x2x8,15,[64,64,8],148536,0.122257,1.656,268024.851191,90.86,-6.00,16.98,6.39
csv,uni64x2x8,16,[64,64,8,2],156448,0.231875,1.758,282635.130631,85.19,-6.35,18.86,6.78
csv,uni64x2x8,17,[64,64,8,4],157280,0.453201,1.712,289213.931772,42.63,-6.27,2.48,6.69
