csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,"[16,16,8]",24360,0.014197,1.006,144260.289517,0.00,0.00,0.00,0.00
csv,paper,12,"[16,16,8,2]",28320,0.021596,1.030,189660.791951,0.00,0.00,0.00,0.00
csv,paper,13,"[16,16,8,4]",34976,0.036108,1.175,226876.589549,0.00,0.00,0.00,0.00
csv,paper,14,"[16,16,8,8]",35808,0.065454,1.138,250311.399665,0.00,0.00,0.00,0.00
csv,paper,15,"[16,16,8,16]",38928,0.124758,1.140,262653.509987,0.00,0.00,0.00,0.00
csv,paper,16,"[16,16,8,32]",42256,0.241872,1.164,270952.860664,0.00,0.00,0.00,0.00
csv,paper,17,"[16,16,8,64]",55152,0.477734,1.288,274361.782889,0.00,0.00,0.00,0.00
csv,paper,18,"[16,16,8,128]",69920,0.948732,1.352,276309.718146,0.00,0.00,0.00,0.00
csv,paper,19,"[16,16,8,256]",96336,1.887812,1.471,277722.579983,0.00,0.00,0.00,0.00
csv,paper,20,"[16,16,8,512]",96336,3.777205,1.508,277606.324283,0.00,0.00,0.00,0.00
csv,paper,21,"[16,16,8,1024]",104032,7.656382,1.586,273908.996427,0.00,0.00,0.00,0.00
csv,paper,22,"[16,16,8,2048]",104032,15.271350,1.614,274651.823852,0.00,0.00,0.00,0.00
csv,paper,23,"[16,16,8,4096]",104032,30.549596,1.575,274589.817088,0.00,0.00,0.00,0.00
csv,paper,24,"[16,16,8,8192]",105488,61.050018,1.594,274810.991762,0.00,0.00,0.00,0.00
csv,paper,25,"[16,16,8,16384]",111728,122.227539,1.640,274524.318905,0.00,0.00,0.00,0.00
csv,mod16,16,"[16,16,16,16]",40800,0.240143,1.202,272904.034056,-3.45,-0.71,3.24,0.72
csv,mod16,17,"[16,16,16,16,2]",55784,0.473857,1.493,276606.552857,1.15,-0.81,15.93,0.82
csv,mod16,18,"[16,16,16,16,4]",56200,0.941419,1.478,278456.174910,-19.62,-0.77,9.28,0.78
csv,mod16,19,"[16,16,16,16,8]",57032,1.875377,1.496,279564.106189,-40.80,-0.66,1.67,0.66
csv,mod16,20,"[16,16,16,16,16]",58696,3.773398,1.538,277886.393624,-39.07,-0.10,1.97,0.10
csv,mod16,21,"[16,16,16,16,32]",74504,7.653849,1.660,273999.661594,-28.38,-0.03,4.66,0.03
csv,mod16,22,"[16,16,16,16,64]",81160,15.256563,1.699,274918.019937,-21.99,-0.10,5.23,0.10
csv,mod16,23,"[16,16,16,16,128]",94472,30.545640,1.723,274625.381554,-9.19,-0.01,9.37,0.01
csv,mod16,24,"[16,16,16,16,256]",120888,61.064975,1.858,274743.680912,14.60,0.02,16.57,-0.02
csv,mod16,25,"[16,16,16,16,512]",133368,122.383241,1.903,274175.056449,19.37,0.13,16.09,-0.13
csv,uni32x3,15,"[32,32,32]",45992,0.118513,1.057,276492.150966,18.15,-5.01,-7.25,5.27
csv,uni32x3,16,"[32,32,32,2]",67840,0.229529,1.204,285523.394474,60.55,-5.10,3.42,5.38
csv,uni32x3,17,"[32,32,32,4]",68256,0.458174,1.217,286074.431118,23.76,-4.09,-5.49,4.27
csv,uni32x3,18,"[32,32,32,8]",69088,0.908250,1.194,288625.485250,-1.19,-4.27,-11.71,4.46
csv,uni32x3,19,"[32,32,32,16]",70752,1.790443,1.227,292825.828690,-26.56,-5.16,-16.56,5.44
csv,uni32x3,20,"[32,32,32,32]",74080,3.613694,1.265,290167.380249,-23.10,-4.33,-16.09,4.52
csv,uni32x3,21,"[32,32,32,64]",100080,7.328496,1.430,286164.023382,-3.80,-4.28,-9.86,4.47
csv,uni32x3,22,"[32,32,32,128]",113392,14.618470,1.513,286918.120218,9.00,-4.28,-6.27,4.47
csv,uni32x3,23,"[32,32,32,256]",139808,29.433797,1.625,284999.178639,34.39,-3.65,3.16,3.79
csv,uni32x3,24,"[32,32,32,512]",139808,59.121065,1.732,283777.295379,32.53,-3.16,8.65,3.26
csv,uni32x3,25,"[32,32,32,1024]",139808,118.233175,1.710,283798.790168,25.13,-3.27,4.27,3.38
csv,uni64x2x8,15,"[64,64,8]",74280,0.116663,1.300,280878.571508,90.81,-6.49,14.10,6.94
csv,uni64x2x8,16,"[64,64,8,2]",78240,0.226747,1.295,289027.014169,85.16,-6.25,11.22,6.67
csv,uni64x2x8,17,"[64,64,8,4]",78656,0.447257,1.282,293057.448651,42.62,-6.38,-0.51,6.81
csv,uni64x2x8,18,"[64,64,8,8]",79488,0.887345,1.288,295425.214714,13.68,-6.47,-4.78,6.92
csv,uni64x2x8,19,"[64,64,8,16]",108816,1.768344,1.511,296485.369994,12.95,-6.33,2.70,6.76
csv,uni64x2x8,20,"[64,64,8,32]",112144,3.562566,1.578,294331.634978,16.41,-5.68,4.66,6.02
csv,uni64x2x8,21,"[64,64,8,64]",118800,7.231866,1.577,289987.666739,14.20,-5.54,-0.58,5.87
csv,uni64x2x8,22,"[64,64,8,128]",133568,14.456778,1.667,290127.161312,28.39,-5.33,3.27,5.63
csv,uni64x2x8,23,"[64,64,8,256]",159984,28.921332,1.745,290049.157517,53.78,-5.33,10.80,5.63
csv,uni64x2x8,24,"[64,64,8,512]",159984,57.886685,1.789,289828.583836,51.66,-5.18,12.22,5.46
csv,uni64x2x8,25,"[64,64,8,1024]",187648,115.997832,1.966,289267.751382,67.95,-5.10,19.92,5.37
csv,hi128_32_8,15,"[128,32,8]",100904,0.115323,1.385,284140.608846,159.21,-7.56,21.51,8.18
csv,hi128_32_8,16,"[128,32,8,2]",104864,0.224116,1.397,292420.509563,148.16,-7.34,20.04,7.92
csv,hi128_32_8,17,"[128,32,8,4]",105280,0.441410,1.414,296939.118661,90.89,-7.60,9.77,8.23
csv,hi128_32_8,18,"[128,32,8,8]",112560,0.875475,1.471,299430.485373,60.98,-7.72,8.79,8.37
csv,hi128_32_8,19,"[128,32,8,16]",115680,1.744825,1.468,300481.775813,20.08,-7.57,-0.19,8.19
csv,hi128_32_8,20,"[128,32,8,32]",119008,3.519147,1.536,297963.111648,23.53,-6.83,1.83,7.33
csv,hi128_32_8,21,"[128,32,8,64]",125664,7.157144,1.583,293015.195589,20.79,-6.52,-0.17,6.98
csv,hi128_32_8,22,"[128,32,8,128]",166848,14.285930,1.794,293596.843954,60.38,-6.45,11.12,6.90
csv,hi128_32_8,23,"[128,32,8,256]",199712,28.580733,1.861,293505.696913,91.97,-6.44,18.13,6.89
csv,hi128_32_8,24,"[128,32,8,512]",199712,57.298401,1.857,292804.259938,89.32,-6.15,16.48,6.55
csv,hi128_32_8,25,"[128,32,8,1024]",201168,114.683795,1.861,292582.155403,80.05,-6.17,13.49,6.58
