csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],29976,0.015503,1.029,132103.071874,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],34848,0.022851,1.085,179250.235999,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],43040,0.037590,1.195,217930.370183,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],44064,0.066640,1.175,245858.771303,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],47904,0.125781,1.232,260517.273870,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],52000,0.243188,1.252,269486.752988,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],67872,0.478891,1.335,273699.226063,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],86048,0.950068,1.457,275921.260364,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],118560,1.889049,1.583,277540.686424,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],118560,3.779776,1.669,277417.522491,0.00,0.00,0.00,0.00
csv,paper,21,[16,16,8,1024],128032,7.656775,1.766,273894.945918,0.00,0.00,0.00,0.00
csv,paper,22,[16,16,8,2048],128032,15.267269,1.729,274725.227778,0.00,0.00,0.00,0.00
csv,paper,23,[16,16,8,4096],128032,30.538389,1.728,274690.582560,0.00,0.00,0.00,0.00
csv,paper,24,[16,16,8,8192],129824,61.000004,1.749,275036.308030,0.00,0.00,0.00,0.00
csv,paper,25,[16,16,8,16384],137504,122.223744,1.796,274532.842541,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],50208,0.241875,1.232,270950.238229,-3.45,-0.54,-1.54,0.54
csv,mod16,17,[16,16,16,16,2],68648,0.474701,1.562,276115.028351,1.14,-0.87,16.99,0.88
csv,mod16,18,[16,16,16,16,4],69160,0.943066,1.578,277969.819161,-19.63,-0.74,8.32,0.74
csv,mod16,19,[16,16,16,16,8],70184,1.876431,1.572,279407.087702,-40.80,-0.67,-0.69,0.67
csv,mod16,20,[16,16,16,16,16],72232,3.772296,1.625,277967.577155,-39.08,-0.20,-2.61,0.20
csv,mod16,21,[16,16,16,16,32],91688,7.647737,1.788,274218.649071,-28.39,-0.12,1.25,0.12
csv,mod16,22,[16,16,16,16,64],99880,15.242077,1.758,275179.294483,-21.99,-0.17,1.65,0.17
csv,mod16,23,[16,16,16,16,128],116264,30.512617,1.810,274922.604033,-9.19,-0.08,4.71,0.08
csv,mod16,24,[16,16,16,16,256],148776,61.013318,1.993,274976.293007,14.60,0.02,13.96,-0.02
csv,mod16,25,[16,16,16,16,512],164136,122.255929,2.112,274460.569743,19.37,0.03,17.58,-0.03
csv,uni32x3,15,[32,32,32],56600,0.119633,1.114,273904.105644,18.15,-4.89,-9.59,5.14
csv,uni32x3,16,[32,32,32,2],83488,0.230290,1.302,284580.471192,60.55,-5.30,3.99,5.60
csv,uni32x3,17,[32,32,32,4],84000,0.458048,1.305,286153.186338,23.76,-4.35,-2.26,4.55
csv,uni32x3,18,[32,32,32,8],85024,0.909951,1.307,288085.693185,-1.19,-4.22,-10.31,4.41
csv,uni32x3,19,[32,32,32,16],87072,1.790638,1.325,292794.036839,-26.56,-5.21,-16.31,5.50
csv,uni32x3,20,[32,32,32,32],91168,3.613822,1.360,290157.035522,-23.10,-4.39,-18.50,4.59
csv,uni32x3,21,[32,32,32,64],123168,7.327044,1.589,286220.739367,-3.80,-4.31,-9.99,4.50
csv,uni32x3,22,[32,32,32,128],139552,14.601588,1.660,287249.856524,9.00,-4.36,-3.98,4.56
csv,uni32x3,23,[32,32,32,256],172064,29.437939,1.939,284959.083378,34.39,-3.60,12.22,3.74
csv,uni32x3,24,[32,32,32,512],172064,59.044391,1.899,284145.805495,32.54,-3.21,8.54,3.31
csv,uni32x3,25,[32,32,32,1024],172064,118.141825,1.899,284018.229537,25.13,-3.34,5.71,3.46
csv,uni64x2x8,15,[64,64,8],91416,0.117713,1.377,278372.076562,90.83,-6.41,11.77,6.85
csv,uni64x2x8,16,[64,64,8,2],96288,0.227922,1.430,287537.259605,85.17,-6.28,14.25,6.70
csv,uni64x2x8,17,[64,64,8,4],96800,0.448129,1.427,292487.037574,42.62,-6.42,6.85,6.86
csv,uni64x2x8,18,[64,64,8,8],97824,0.889349,1.395,294759.360523,13.69,-6.39,-4.26,6.83
csv,uni64x2x8,19,[64,64,8,16],133920,1.769688,1.657,296260.085190,12.96,-6.32,4.68,6.74
csv,uni64x2x8,20,[64,64,8,32],138016,3.561441,1.734,294424.628699,16.41,-5.78,3.93,6.13
csv,uni64x2x8,21,[64,64,8,64],146208,7.225844,1.755,290229.343042,14.20,-5.63,-0.62,5.96
csv,uni64x2x8,22,[64,64,8,128],164384,14.447658,1.832,290310.302453,28.39,-5.37,5.96,5.67
csv,uni64x2x8,23,[64,64,8,256],196896,28.878634,1.964,290478.002218,53.79,-5.43,13.66,5.75
csv,uni64x2x8,24,[64,64,8,512],196896,57.903118,1.899,289746.332475,51.66,-5.08,8.57,5.35
csv,uni64x2x8,25,[64,64,8,1024],230944,115.856988,2.160,289619.404932,67.95,-5.21,20.26,5.50
csv,hi128_32_8,15,[128,32,8],124184,0.116649,1.521,280911.405602,159.24,-7.26,23.38,7.83
csv,hi128_32_8,16,[128,32,8,2],129056,0.225306,1.541,290875.920621,148.18,-7.35,23.09,7.94
csv,hi128_32_8,17,[128,32,8,4],129568,0.442204,1.535,296406.060238,90.90,-7.66,14.93,8.30
csv,hi128_32_8,18,[128,32,8,8],138528,0.876330,1.602,299138.569152,60.99,-7.76,9.95,8.41
csv,hi128_32_8,19,[128,32,8,16],142368,1.745679,1.605,300334.716123,20.08,-7.59,1.37,8.21
csv,hi128_32_8,20,[128,32,8,32],146464,3.518294,1.680,298035.319904,23.54,-6.92,0.69,7.43
csv,hi128_32_8,21,[128,32,8,64],154656,7.152648,1.751,293199.377130,20.79,-6.58,-0.82,7.05
csv,hi128_32_8,22,[128,32,8,128],205344,14.270696,1.961,293910.260806,60.38,-6.53,13.43,6.98
csv,hi128_32_8,23,[128,32,8,256],245792,28.554454,2.158,293775.811857,91.98,-6.50,24.85,6.95
csv,hi128_32_8,24,[128,32,8,512],245792,57.224202,2.162,293183.923532,89.33,-6.19,23.62,6.60
csv,hi128_32_8,25,[128,32,8,1024],247584,114.490304,2.162,293076.626359,80.06,-6.33,20.39,6.75
