csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],63648,0.044307,3.224,46223.042521,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],77920,0.065536,3.932,62499.996185,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],96896,0.106924,4.245,76615.274110,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],106496,0.189638,4.299,86396.023775,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],118176,0.357312,4.428,91707.082563,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],131520,0.693687,4.561,94474.922692,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],159296,1.367703,5.127,95833.642483,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],187712,2.721141,5.673,96336.042212,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],237568,5.435910,6.655,96448.978608,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],254048,10.906804,6.648,96139.616390,0.00,0.00,0.00,0.00
csv,paper,21,[16,16,8,1024],291616,21.907056,7.045,95729.521206,0.00,0.00,0.00,0.00
csv,paper,22,[16,16,8,2048],320608,44.029614,7.065,95260.975981,0.00,0.00,0.00,0.00
csv,paper,23,[16,16,8,4096],359488,88.322632,7.048,94976.879535,0.00,0.00,0.00,0.00
csv,paper,24,[16,16,8,8192],384608,177.342599,7.135,94603.417776,0.00,0.00,0.00,0.00
csv,paper,25,[16,16,8,16384],434368,356.772596,7.433,94049.914011,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],132384,0.686547,4.488,95457.452282,0.66,-1.03,-1.59,1.04
csv,mod16,17,[16,16,16,16,2],164000,1.354487,5.679,96768.738323,2.95,-0.97,10.77,0.98
csv,mod16,18,[16,16,16,16,4],175872,2.692437,5.695,97363.084370,-6.31,-1.05,0.39,1.07
csv,mod16,19,[16,16,16,16,8],193024,5.395505,5.774,97171.248628,-18.75,-0.74,-13.24,0.75
csv,mod16,20,[16,16,16,16,16],209792,10.890863,5.835,96280.338201,-17.42,-0.15,-12.22,0.15
