csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,"[16,16,8]",48696,0.020366,1.169,100559.820646,0.00,0.00,0.00,0.00
csv,paper,12,"[16,16,8,2]",56608,0.027713,1.230,147801.263160,0.00,0.00,0.00,0.00
csv,paper,13,"[16,16,8,4]",69920,0.042250,1.348,193894.583359,0.00,0.00,0.00,0.00
csv,paper,14,"[16,16,8,8]",71584,0.071592,1.367,228853.568497,0.00,0.00,0.00,0.00
csv,paper,15,"[16,16,8,16]",77824,0.130668,1.466,250772.504133,0.00,0.00,0.00,0.00
csv,paper,16,"[16,16,8,32]",84480,0.247642,1.467,264639.740114,0.00,0.00,0.00,0.00
csv,paper,17,"[16,16,8,64]",110272,0.484152,1.689,270725.122220,0.00,0.00,0.00,0.00
csv,paper,18,"[16,16,8,128]",139808,0.954061,1.797,274766.459279,0.00,0.00,0.00,0.00
csv,paper,19,"[16,16,8,256]",192640,1.894328,2.100,276767.232245,0.00,0.00,0.00,0.00
csv,paper,20,"[16,16,8,512]",192640,3.779851,2.111,277411.975390,0.00,0.00,0.00,0.00
csv,paper,21,"[16,16,8,1024]",208032,7.658081,2.250,273848.257084,0.00,0.00,0.00,0.00
csv,paper,22,"[16,16,8,2048]",208032,15.268919,2.273,274695.535310,0.00,0.00,0.00,0.00
csv,paper,23,"[16,16,8,4096]",208032,30.540734,2.259,274669.491463,0.00,0.00,0.00,0.00
csv,paper,24,"[16,16,8,8192]",210944,61.018896,2.308,274951.155812,0.00,0.00,0.00,0.00
csv,paper,25,"[16,16,8,16384]",223424,122.219640,2.412,274542.062361,0.00,0.00,0.00,0.00
csv,mod16,16,"[16,16,16,16]",81568,0.246396,1.518,265978.273638,-3.45,-0.50,3.49,0.51
csv,mod16,17,"[16,16,16,16,2]",111528,0.479982,1.901,273077.164208,1.14,-0.86,12.53,0.87
csv,mod16,18,"[16,16,16,16,4]",112360,0.947859,1.925,276564.207687,-19.63,-0.65,7.14,0.65
csv,mod16,19,"[16,16,16,16,8]",114024,1.880663,1.952,278778.326978,-40.81,-0.72,-7.04,0.73
csv,mod16,20,"[16,16,16,16,16]",117352,3.779872,1.973,277410.425793,-39.08,0.00,-6.51,-0.00
csv,mod16,21,"[16,16,16,16,32]",148968,7.658426,2.271,273835.918578,-28.39,0.00,0.96,-0.00
csv,mod16,22,"[16,16,16,16,64]",162280,15.252847,2.300,274984.998304,-21.99,-0.11,1.18,0.11
csv,mod16,23,"[16,16,16,16,128]",188904,30.527793,2.402,274785.927931,-9.19,-0.04,6.30,0.04
csv,mod16,24,"[16,16,16,16,256]",241736,61.063546,2.655,274750.112313,14.60,0.07,15.03,-0.07
csv,mod16,25,"[16,16,16,16,512]",266696,122.365704,2.911,274214.349886,19.37,0.12,20.67,-0.12
csv,uni32x3,15,"[32,32,32]",91960,0.124561,1.436,263067.679026,18.16,-4.67,-2.06,4.90
csv,uni32x3,16,"[32,32,32,2]",135648,0.236111,1.734,277564.898446,60.57,-4.66,18.22,4.88
csv,uni32x3,17,"[32,32,32,4]",136480,0.463578,1.786,282739.863606,23.77,-4.25,5.71,4.44
csv,uni32x3,18,"[32,32,32,8]",138144,0.913523,1.715,286959.432763,-1.19,-4.25,-4.56,4.44
csv,uni32x3,19,"[32,32,32,16]",141472,1.796566,1.773,291827.926252,-26.56,-5.16,-15.54,5.44
csv,uni32x3,20,"[32,32,32,32]",148128,3.619524,1.823,289699.935421,-23.11,-4.24,-13.62,4.43
csv,uni32x3,21,"[32,32,32,64]",200128,7.333520,2.160,285967.976969,-3.80,-4.24,-4.01,4.43
csv,uni32x3,22,"[32,32,32,128]",226752,14.616709,2.281,286952.685166,9.00,-4.27,0.34,4.46
csv,uni32x3,23,"[32,32,32,256]",279584,29.425041,2.474,285083.990665,34.39,-3.65,9.48,3.79
csv,uni32x3,24,"[32,32,32,512]",279584,59.109595,2.439,283832.362028,32.54,-3.13,5.67,3.23
csv,uni32x3,25,"[32,32,32,1024]",279584,118.210265,2.524,283853.791040,25.14,-3.28,4.65,3.39
csv,uni64x2x8,15,"[64,64,8]",148536,0.122964,1.685,266483.888386,90.86,-5.90,14.97,6.27
csv,uni64x2x8,16,"[64,64,8,2]",156448,0.232729,1.717,281597.906386,85.19,-6.02,17.06,6.41
csv,uni64x2x8,17,"[64,64,8,4]",157280,0.454088,1.753,288648.680758,42.63,-6.21,3.77,6.62
csv,uni64x2x8,18,"[64,64,8,8]",158944,0.894355,1.769,293109.573496,13.69,-6.26,-1.59,6.68
csv,uni64x2x8,19,"[64,64,8,16]",217600,1.774040,2.121,295533.327402,12.96,-6.35,1.02,6.78
csv,uni64x2x8,20,"[64,64,8,32]",224256,3.569046,2.184,293797.305452,16.41,-5.58,3.45,5.91
csv,uni64x2x8,21,"[64,64,8,64]",237568,7.236768,2.257,289791.246829,14.20,-5.50,0.31,5.82
csv,uni64x2x8,22,"[64,64,8,128]",267104,14.460813,2.382,290046.202792,28.40,-5.29,4.77,5.59
csv,uni64x2x8,23,"[64,64,8,256]",319936,28.902572,2.630,290237.417910,53.79,-5.36,16.41,5.67
csv,uni64x2x8,24,"[64,64,8,512]",319936,57.850313,2.643,290010.805565,51.67,-5.19,14.50,5.48
csv,uni64x2x8,25,"[64,64,8,1024]",375264,115.950237,2.978,289386.489301,67.96,-5.13,23.45,5.41
csv,hi128_32_8,15,"[128,32,8]",201784,0.121505,1.894,269685.298458,159.28,-7.01,29.23,7.54
csv,hi128_32_8,16,"[128,32,8,2]",209696,0.230326,1.943,284535.490862,148.22,-6.99,32.43,7.52
csv,hi128_32_8,17,"[128,32,8,4]",210528,0.446984,1.955,293236.262597,90.92,-7.68,15.73,8.32
csv,hi128_32_8,18,"[128,32,8,8]",225088,0.883029,2.002,296868.931049,61.00,-7.45,11.42,8.04
csv,hi128_32_8,19,"[128,32,8,16]",231328,1.751765,2.111,299291.299031,20.08,-7.53,0.52,8.14
csv,hi128_32_8,20,"[128,32,8,32]",237984,3.527729,2.146,297238.245343,23.54,-6.67,1.69,7.15
csv,hi128_32_8,21,"[128,32,8,64]",251296,7.163573,2.225,292752.231909,20.80,-6.46,-1.11,6.90
csv,hi128_32_8,22,"[128,32,8,128]",333664,14.288727,2.606,293539.380658,60.39,-6.42,14.65,6.86
csv,hi128_32_8,23,"[128,32,8,256]",399392,28.587282,2.962,293438.456866,91.99,-6.40,31.10,6.83
csv,hi128_32_8,24,"[128,32,8,512]",399392,57.291423,2.992,292839.922734,89.34,-6.11,29.63,6.51
csv,hi128_32_8,25,"[128,32,8,1024]",402304,114.798425,2.969,292290.004187,80.06,-6.07,23.10,6.46
