csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,"[16,16,8]",97120,0.057791,3.827,35437.955071,0.00,0.00,0.00,0.00
csv,paper,12,"[16,16,8,2]",119200,0.078978,4.663,51862.814549,0.00,0.00,0.00,0.00
csv,paper,13,"[16,16,8,4]",145472,0.120445,5.146,68014.537908,0.00,0.00,0.00,0.00
csv,paper,14,"[16,16,8,8]",163776,0.203159,5.196,80646.184246,0.00,0.00,0.00,0.00
csv,paper,15,"[16,16,8,16]",180384,0.370977,5.450,88328.860099,0.00,0.00,0.00,0.00
csv,paper,16,"[16,16,8,32]",200160,0.707660,5.663,92609.393914,0.00,0.00,0.00,0.00
csv,paper,17,"[16,16,8,64]",247328,1.380622,6.523,94936.901651,0.00,0.00,0.00,0.00
csv,paper,18,"[16,16,8,128]",288576,2.733790,7.458,95890.325008,0.00,0.00,0.00,0.00
csv,paper,19,"[16,16,8,256]",364032,5.446844,9.047,96255.380117,0.00,0.00,0.00,0.00
csv,paper,20,"[16,16,8,512]",391136,10.912405,9.057,96090.271579,0.00,0.00,0.00,0.00
csv,paper,21,"[16,16,8,1024]",438592,21.907495,9.668,95727.603674,0.00,0.00,0.00,0.00
csv,paper,22,"[16,16,8,2048]",479296,44.001105,9.684,95322.697688,0.00,0.00,0.00,0.00
csv,paper,23,"[16,16,8,4096]",543776,88.323372,9.692,94976.084416,0.00,0.00,0.00,0.00
csv,paper,24,"[16,16,8,8192]",605088,180.064518,9.955,93173.359303,0.00,0.00,0.00,0.00
csv,paper,25,"[16,16,8,16384]",679680,352.198905,10.478,95271.255883,0.00,0.00,0.00,0.00
csv,mod16,16,"[16,16,16,16]",200832,0.707912,5.526,92576.516488,0.00,0.00,0.00,0.00
csv,mod16,17,"[16,16,16,16,2]",250656,1.386514,7.153,94533.462469,0.00,0.00,0.00,0.00
csv,mod16,18,"[16,16,16,16,4]",279456,2.736086,7.214,95809.839293,0.00,0.00,0.00,0.00
csv,mod16,19,"[16,16,16,16,8]",299040,5.454743,7.331,96115.980010,0.00,0.00,0.00,0.00
csv,mod16,20,"[16,16,16,16,16]",320512,10.929498,7.372,95939.999830,0.00,0.00,0.00,0.00
