csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,"[16,16,8]",24360,0.022620,1.988,90538.977472,0.00,0.00,0.00,0.00
csv,paper,12,"[16,16,8,2]",28320,0.030194,1.856,135654.688870,0.00,0.00,0.00,0.00
csv,paper,13,"[16,16,8,4]",34976,0.045559,1.940,179810.273822,0.00,0.00,0.00,0.00
csv,paper,14,"[16,16,8,8]",35808,0.076706,1.948,213593.881714,0.00,0.00,0.00,0.00
csv,paper,15,"[16,16,8,16]",38928,0.139556,1.992,234802.407375,0.00,0.00,0.00,0.00
csv,paper,16,"[16,16,8,32]",42256,0.264265,2.006,247993.269913,0.00,0.00,0.00,0.00
csv,paper,17,"[16,16,8,64]",55152,0.514935,2.106,254540.684944,0.00,0.00,0.00,0.00
csv,paper,18,"[16,16,8,128]",69920,1.015571,2.225,258124.717820,0.00,0.00,0.00,0.00
csv,paper,19,"[16,16,8,256]",96336,2.015736,2.381,260097.602006,0.00,0.00,0.00,0.00
csv,paper,20,"[16,16,8,512]",96336,4.025102,2.412,260509.198686,0.00,0.00,0.00,0.00
csv,mod16,16,"[16,16,16,16]",40800,0.263812,2.031,248419.308200,-3.45,-0.17,1.24,0.17
csv,mod16,17,"[16,16,16,16,2]",55784,0.513695,2.531,255155.323750,1.15,-0.24,20.18,0.24
csv,mod16,18,"[16,16,16,16,4]",56200,1.009706,2.532,259624.002715,-19.62,-0.58,13.79,0.58
csv,mod16,19,"[16,16,16,16,8]",57032,2.003817,2.547,261644.639954,-40.80,-0.59,6.95,0.59
csv,mod16,20,"[16,16,16,16,16]",58696,4.024228,2.595,260565.783471,-39.07,-0.02,7.60,0.02
csv,uni32x3,15,"[32,32,32]",45992,0.133717,1.981,245055.290824,18.15,-4.18,-0.56,4.37
csv,uni32x3,16,"[32,32,32,2]",67840,0.253428,2.144,258597.789552,60.55,-4.10,6.86,4.28
csv,uni32x3,17,"[32,32,32,4]",68256,0.492744,2.162,266003.984349,23.76,-4.31,2.68,4.50
csv,uni32x3,18,"[32,32,32,8]",69088,0.970612,2.169,270081.252366,-1.19,-4.43,-2.51,4.63
csv,uni32x3,19,"[32,32,32,16]",70752,1.929777,2.193,271683.152475,-26.56,-4.26,-7.90,4.45
csv,uni32x3,20,"[32,32,32,32]",74080,3.869226,2.233,271004.042408,-23.10,-3.87,-7.43,4.03
csv,uni64x2x8,15,"[64,64,8]",74280,0.130298,2.118,251484.146337,90.81,-6.63,6.35,7.10
csv,uni64x2x8,16,"[64,64,8,2]",78240,0.248327,2.181,263910.336045,85.16,-6.03,8.71,6.42
csv,uni64x2x8,17,"[64,64,8,4]",78656,0.482797,2.195,271484.585719,42.62,-6.24,4.22,6.66
csv,uni64x2x8,18,"[64,64,8,8]",79488,0.953759,2.179,274853.620322,13.68,-6.09,-2.06,6.48
csv,uni64x2x8,19,"[64,64,8,16]",108816,1.902907,2.425,275519.560198,12.95,-5.60,1.85,5.93
csv,uni64x2x8,20,"[64,64,8,32]",112144,3.835872,2.457,273360.510351,16.41,-4.70,1.88,4.93
csv,hi128_32_8,15,"[128,32,8]",100904,0.128801,2.244,254407.411591,159.21,-7.71,12.67,8.35
csv,hi128_32_8,16,"[128,32,8,2]",104864,0.242901,2.286,269805.161818,148.16,-8.08,13.97,8.80
csv,hi128_32_8,17,"[128,32,8,4]",105280,0.477860,2.279,274289.326196,90.89,-7.20,8.22,7.76
csv,hi128_32_8,18,"[128,32,8,8]",112560,0.949150,2.336,276188.056623,60.98,-6.54,4.99,7.00
csv,hi128_32_8,19,"[128,32,8,16]",115680,1.897861,2.397,276252.121098,20.08,-5.85,0.66,6.21
csv,hi128_32_8,20,"[128,32,8,32]",119008,3.810007,2.442,275216.299694,23.53,-5.34,1.25,5.65
