csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,"[16,16,8]",53168,0.081745,7.990,25053.508753,0.00,0.00,0.00,0.00
csv,paper,12,"[16,16,8,2]",64384,0.106580,9.827,38431.194000,0.00,0.00,0.00,0.00
csv,paper,13,"[16,16,8,4]",79936,0.153180,10.171,53479.648568,0.00,0.00,0.00,0.00
csv,paper,14,"[16,16,8,8]",90144,0.247623,10.205,66164.986060,0.00,0.00,0.00,0.00
csv,paper,15,"[16,16,8,16]",98288,0.436272,10.370,75109.181308,0.00,0.00,0.00,0.00
csv,paper,16,"[16,16,8,32]",110640,0.815389,10.490,80373.947345,0.00,0.00,0.00,0.00
csv,paper,17,"[16,16,8,64]",131440,1.576212,11.023,83156.318562,0.00,0.00,0.00,0.00
csv,paper,18,"[16,16,8,128]",155840,3.105798,11.652,84404.706135,0.00,0.00,0.00,0.00
csv,paper,19,"[16,16,8,256]",196528,6.182034,12.670,84808.336931,0.00,0.00,0.00,0.00
csv,paper,20,"[16,16,8,512]",212336,12.395782,12.841,84591.356530,0.00,0.00,0.00,0.00
csv,mod16,16,"[16,16,16,16]",109344,0.813660,10.396,80544.708169,-1.17,-0.21,-0.90,0.21
csv,mod16,17,"[16,16,16,16,2]",139840,1.600236,12.776,81907.920681,6.39,1.52,15.90,-1.50
csv,mod16,18,"[16,16,16,16,4]",149696,3.110377,12.836,84280.449990,-3.94,0.15,10.16,-0.15
csv,mod16,19,"[16,16,16,16,8]",160896,6.205234,13.122,84491.248813,-18.13,0.38,3.56,-0.37
csv,mod16,20,"[16,16,16,16,16]",173632,12.387498,12.918,84647.921950,-18.23,-0.07,0.60,0.07
csv,uni32x3,15,"[32,32,32]",119376,0.421249,8.828,77787.795985,21.46,-3.44,-14.87,3.57
csv,uni32x3,16,"[32,32,32,2]",155296,0.787528,11.381,83217.388525,40.36,-3.42,8.49,3.54
csv,uni32x3,17,"[32,32,32,4]",163072,1.521112,11.410,86168.528868,24.07,-3.50,3.52,3.62
csv,uni32x3,18,"[32,32,32,8]",180320,2.991484,11.487,87630.072609,15.71,-3.68,-1.42,3.82
csv,uni32x3,19,"[32,32,32,16]",198080,5.964965,11.662,87894.558597,0.79,-3.51,-7.96,3.64
csv,uni32x3,20,"[32,32,32,32]",218240,11.947162,11.744,87767.786328,2.78,-3.62,-8.54,3.76
csv,uni64x2x8,15,"[64,64,8]",166608,0.415349,9.816,78892.682646,69.51,-4.80,-5.34,5.04
csv,uni64x2x8,16,"[64,64,8,2]",198624,0.776659,11.793,84381.922325,79.52,-4.75,12.42,4.99
csv,uni64x2x8,17,"[64,64,8,4]",218752,1.487703,11.896,88103.618486,66.43,-5.62,7.92,5.95
csv,uni64x2x8,18,"[64,64,8,8]",232736,2.945576,11.728,88995.825682,49.34,-5.16,0.65,5.44
csv,uni64x2x8,19,"[64,64,8,16]",280144,5.863506,12.961,89415.441151,42.55,-5.15,2.29,5.43
csv,uni64x2x8,20,"[64,64,8,32]",299632,11.738686,13.082,89326.522737,41.11,-5.30,1.87,5.60
csv,hi128_32_8,15,"[128,32,8]",231920,0.412366,10.780,79463.334785,135.96,-5.48,3.96,5.80
csv,hi128_32_8,16,"[128,32,8,2]",248672,0.768392,12.663,85289.854054,124.76,-5.76,20.72,6.12
csv,hi128_32_8,17,"[128,32,8,4]",265568,1.480243,12.660,88547.650339,102.05,-6.09,14.85,6.48
csv,hi128_32_8,18,"[128,32,8,8]",304656,2.912170,13.019,90016.722399,95.49,-6.23,11.73,6.65
csv,hi128_32_8,19,"[128,32,8,16]",338944,5.801620,13.250,90369.237614,72.47,-6.15,4.57,6.56
csv,hi128_32_8,20,"[128,32,8,32]",369088,11.662431,13.536,89910.582700,73.82,-5.92,5.42,6.29
