csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],29976,0.025160,2.035,81397.923487,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],34848,0.033105,1.941,123727.612091,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],43040,0.049167,2.019,166617.408904,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],44064,0.079776,2.015,205374.627940,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],47904,0.142473,2.064,229995.058840,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],52000,0.269023,2.108,243607.138660,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],67872,0.520794,2.237,251677.312872,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],86048,1.020912,2.341,256774.457340,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],118560,2.024955,2.602,258913.429689,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],118560,4.033427,2.577,259971.451531,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],50208,0.267005,2.088,245448.638584,-3.45,-0.75,-0.93,0.76
csv,mod16,17,[16,16,16,16,2],68648,0.518670,2.640,252707.942538,1.14,-0.41,18.00,0.41
csv,mod16,18,[16,16,16,16,4],69160,1.017451,2.686,257647.845927,-19.63,-0.34,14.75,0.34
csv,mod16,19,[16,16,16,16,8],70184,2.014835,2.668,260213.828538,-40.80,-0.50,2.54,0.50
csv,mod16,20,[16,16,16,16,16],72232,4.030779,2.728,260142.250388,-39.08,-0.07,5.86,0.07
csv,uni32x3,15,[32,32,32],56600,0.136732,2.060,239651.349997,18.15,-4.03,-0.23,4.20
csv,uni32x3,16,[32,32,32,2],83488,0.256788,2.263,255214.508562,60.55,-4.55,7.36,4.76
csv,uni32x3,17,[32,32,32,4],84000,0.495485,2.298,264532.957459,23.76,-4.86,2.71,5.11
csv,uni32x3,18,[32,32,32,8],85024,0.974635,2.280,268966.407152,-1.19,-4.53,-2.60,4.75
csv,uni32x3,19,[32,32,32,16],87072,1.940451,2.326,270188.789196,-26.56,-4.17,-10.59,4.35
csv,uni32x3,20,[32,32,32,32],91168,3.867458,2.338,271127.946235,-23.10,-4.11,-9.30,4.29
csv,uni64x2x8,15,[64,64,8],91416,0.134259,2.323,244065.425682,90.83,-5.76,12.54,6.12
csv,uni64x2x8,16,[64,64,8,2],96288,0.252686,2.293,259357.940691,85.17,-6.07,8.78,6.47
csv,uni64x2x8,17,[64,64,8,4],96800,0.485963,2.317,269715.919494,42.62,-6.69,3.58,7.17
csv,uni64x2x8,18,[64,64,8,8],97824,0.957113,2.289,273890.293008,13.69,-6.25,-2.21,6.67
csv,uni64x2x8,19,[64,64,8,16],133920,1.903178,2.587,275480.335549,12.96,-6.01,-0.54,6.40
csv,uni64x2x8,20,[64,64,8,32],138016,3.817465,2.660,274678.638068,16.41,-5.35,3.20,5.66
csv,hi128_32_8,15,[128,32,8],124184,0.131747,2.390,248718.828200,159.24,-7.53,15.77,8.14
csv,hi128_32_8,16,[128,32,8,2],129056,0.246671,2.485,265681.864340,148.18,-8.31,17.89,9.06
csv,hi128_32_8,17,[128,32,8,4],129568,0.482895,2.476,271429.861477,90.90,-7.28,10.66,7.85
csv,hi128_32_8,18,[128,32,8,8],138528,0.945678,2.519,277202.317926,60.99,-7.37,7.61,7.96
csv,hi128_32_8,19,[128,32,8,16],142368,1.882324,2.551,278532.229164,20.08,-7.04,-1.95,7.58
csv,hi128_32_8,20,[128,32,8,32],146464,3.778957,2.619,277477.607226,23.54,-6.31,1.60,6.73
