csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,"[16,16,8]",29976,0.024856,1.834,82394.218275,0.00,0.00,0.00,0.00
csv,paper,12,"[16,16,8,2]",34848,0.032529,1.881,125916.711936,0.00,0.00,0.00,0.00
csv,paper,13,"[16,16,8,4]",43040,0.048224,1.996,169872.988215,0.00,0.00,0.00,0.00
csv,paper,14,"[16,16,8,8]",44064,0.079414,1.969,206309.941198,0.00,0.00,0.00,0.00
csv,paper,15,"[16,16,8,16]",47904,0.141853,2.027,230999.680585,0.00,0.00,0.00,0.00
csv,paper,16,"[16,16,8,32]",52000,0.267827,2.043,244695.615975,0.00,0.00,0.00,0.00
csv,paper,17,"[16,16,8,64]",67872,0.516911,2.201,253567.643956,0.00,0.00,0.00,0.00
csv,paper,18,"[16,16,8,128]",86048,1.018714,2.315,257328.267704,0.00,0.00,0.00,0.00
csv,paper,19,"[16,16,8,256]",118560,2.112889,2.550,248137.960393,0.00,0.00,0.00,0.00
csv,paper,20,"[16,16,8,512]",118560,4.143615,2.913,253058.275821,0.00,0.00,0.00,0.00
csv,mod16,16,"[16,16,16,16]",50208,0.279536,2.274,234445.958920,-3.45,4.37,11.33,-4.19
csv,mod16,17,"[16,16,16,16,2]",68648,0.536539,2.895,244291.707746,1.14,3.80,31.56,-3.66
csv,mod16,18,"[16,16,16,16,4]",69160,1.070251,2.688,244937.010649,-19.63,5.06,16.11,-4.82
csv,mod16,19,"[16,16,16,16,8]",70184,2.113383,2.987,248079.969333,-40.80,0.02,17.17,-0.02
csv,mod16,20,"[16,16,16,16,16]",72232,4.225043,3.024,248181.153580,-39.08,1.97,3.79,-1.93
csv,uni32x3,15,"[32,32,32]",56600,0.145628,2.221,225012.206644,18.15,2.66,9.56,-2.59
csv,uni32x3,16,"[32,32,32,2]",83488,0.272419,2.486,240570.807983,60.55,1.71,21.71,-1.69
csv,uni32x3,17,"[32,32,32,4]",84000,0.530314,2.487,247159.190577,23.76,2.59,13.00,-2.53
csv,uni32x3,18,"[32,32,32,8]",85024,1.010441,2.383,259435.110114,-1.19,-0.81,2.94,0.82
csv,uni32x3,19,"[32,32,32,16]",87072,1.996474,2.526,262606.945451,-26.56,-5.51,-0.92,5.83
csv,uni32x3,20,"[32,32,32,32]",91168,4.066343,2.579,257867.058928,-23.10,-1.86,-11.46,1.90
csv,uni64x2x8,15,"[64,64,8]",91416,0.134032,2.264,244479.669141,90.83,-5.51,11.66,5.84
csv,uni64x2x8,16,"[64,64,8,2]",96288,0.255967,2.506,256033.361347,85.17,-4.43,22.67,4.63
csv,uni64x2x8,17,"[64,64,8,4]",96800,0.485914,2.299,269743.196706,42.62,-6.00,4.46,6.38
csv,uni64x2x8,18,"[64,64,8,8]",97824,1.008133,2.505,260029.067878,13.69,-1.04,8.20,1.05
csv,uni64x2x8,19,"[64,64,8,16]",133920,2.001389,2.793,261962.119046,12.96,-5.28,9.55,5.57
csv,uni64x2x8,20,"[64,64,8,32]",138016,4.036380,2.763,259781.286343,16.41,-2.59,-5.17,2.66
csv,hi128_32_8,15,"[128,32,8]",124184,0.143113,2.610,228965.475664,159.24,0.89,28.72,-0.88
csv,hi128_32_8,16,"[128,32,8,2]",129056,0.258979,2.625,253055.032519,148.18,-3.30,28.50,3.42
csv,hi128_32_8,17,"[128,32,8,4]",129568,0.507525,2.621,258257.231252,90.90,-1.82,19.11,1.85
csv,hi128_32_8,18,"[128,32,8,8]",138528,1.004732,2.515,260909.339954,60.99,-1.37,8.65,1.39
csv,hi128_32_8,19,"[128,32,8,16]",142368,2.014551,2.678,260250.502317,20.08,-4.65,5.05,4.88
csv,hi128_32_8,20,"[128,32,8,32]",146464,4.003856,2.759,261891.549314,23.54,-3.37,-5.28,3.49
