csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,"[16,16,8]",63648,0.097984,8.915,20901.346908,0.00,0.00,0.00,0.00
csv,paper,12,"[16,16,8,2]",77920,0.127783,10.602,32054.256336,0.00,0.00,0.00,0.00
csv,paper,13,"[16,16,8,4]",96896,0.173022,10.750,47346.617967,0.00,0.00,0.00,0.00
csv,paper,14,"[16,16,8,8]",106496,0.272127,11.542,60207.273387,0.00,0.00,0.00,0.00
csv,paper,15,"[16,16,8,16]",118176,0.458243,11.391,71507.847605,0.00,0.00,0.00,0.00
csv,paper,16,"[16,16,8,32]",131520,0.857091,10.912,76463.315624,0.00,0.00,0.00,0.00
csv,paper,17,"[16,16,8,64]",159296,1.666679,12.586,78642.628189,0.00,0.00,0.00,0.00
csv,paper,18,"[16,16,8,128]",187712,3.164530,12.331,82838.222687,0.00,0.00,0.00,0.00
csv,paper,19,"[16,16,8,256]",237568,6.440516,13.520,81404.657614,0.00,0.00,0.00,0.00
csv,paper,20,"[16,16,8,512]",254048,12.998758,13.517,80667.401766,0.00,0.00,0.00,0.00
csv,mod16,16,"[16,16,16,16]",132096,0.839577,10.804,78058.328057,0.44,-2.04,-0.99,2.09
csv,mod16,17,"[16,16,16,16,2]",167264,1.665273,13.308,78709.005467,5.00,-0.08,5.73,0.08
csv,mod16,18,"[16,16,16,16,4]",180512,3.287428,14.413,79741.368188,-3.84,3.88,16.89,-3.74
csv,mod16,19,"[16,16,16,16,8]",193760,6.479697,14.339,80912.426080,-18.44,0.61,6.06,-0.60
csv,mod16,20,"[16,16,16,16,16]",208064,12.777387,13.958,82064.980752,-18.10,-1.70,3.26,1.73
csv,uni32x3,15,"[32,32,32]",143936,0.454581,9.682,72083.956533,21.80,-0.80,-15.00,0.81
csv,uni32x3,16,"[32,32,32,2]",187552,0.851196,12.730,76992.875665,42.60,-0.69,16.66,0.69
csv,uni32x3,17,"[32,32,32,4]",197344,1.603849,12.723,81723.428696,23.89,-3.77,1.09,3.92
csv,uni32x3,18,"[32,32,32,8]",214816,3.122860,12.887,83943.572187,14.44,-1.32,4.51,1.33
csv,uni32x3,19,"[32,32,32,16]",239040,6.264617,12.810,83690.352449,0.62,-2.73,-5.25,2.81
csv,uni32x3,20,"[32,32,32,32]",265824,12.143624,12.352,86347.866531,4.64,-6.58,-8.62,7.04
csv,uni64x2x8,15,"[64,64,8]",197792,0.426397,10.464,76848.578989,67.37,-6.95,-8.14,7.47
csv,uni64x2x8,16,"[64,64,8,2]",239520,0.785045,12.348,83480.609896,82.12,-8.41,13.16,9.18
csv,uni64x2x8,17,"[64,64,8,4]",257792,1.507958,12.390,86920.208589,61.83,-9.52,-1.56,10.53
csv,uni64x2x8,18,"[64,64,8,8]",280032,2.957739,12.467,88629.863700,49.18,-6.53,1.10,6.99
csv,uni64x2x8,19,"[64,64,8,16]",340608,5.862453,13.946,89431.512724,43.37,-8.98,3.14,9.86
csv,uni64x2x8,20,"[64,64,8,32]",362976,11.734146,14.079,89361.085490,42.88,-9.73,4.16,10.78
csv,hi128_32_8,15,"[128,32,8]",281504,0.425452,11.658,77019.236701,138.21,-7.16,2.35,7.71
csv,hi128_32_8,16,"[128,32,8,2]",295840,0.782658,13.556,83735.191703,124.94,-8.68,24.23,9.51
csv,hi128_32_8,17,"[128,32,8,4]",319840,1.499127,13.560,87432.196606,100.78,-10.05,7.74,11.18
csv,hi128_32_8,18,"[128,32,8,8]",366784,2.940085,14.019,89162.036906,95.40,-7.09,13.69,7.63
csv,hi128_32_8,19,"[128,32,8,16]",415168,5.813129,14.182,90190.318825,74.76,-9.74,4.89,10.79
csv,hi128_32_8,20,"[128,32,8,32]",445376,11.635949,14.388,90115.211477,75.31,-10.48,6.45,11.71
