csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],48696,0.035239,2.066,58118.246397,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],56608,0.042390,2.108,96627.645627,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],69920,0.057771,2.282,141802.177584,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],71584,0.088817,2.257,184468.639065,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],77824,0.151913,2.351,215702.868666,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],84480,0.276745,2.401,236810.128258,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],110272,0.527364,2.629,248541.941760,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],139808,1.024154,2.766,255961.539279,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],192640,2.020297,3.093,259510.385710,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],192640,4.016969,3.145,261036.619489,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],81568,0.275569,2.365,237820.872198,-3.45,-0.43,-1.52,0.43
csv,mod16,17,[16,16,16,16,2],111528,0.525452,3.082,249446.117031,1.14,-0.36,17.25,0.36
csv,mod16,18,[16,16,16,16,4],112360,1.024718,3.071,255820.568852,-19.63,0.06,11.03,-0.06
csv,mod16,19,[16,16,16,16,8],114024,2.024064,3.057,259027.388804,-40.81,0.19,-1.15,-0.19
csv,mod16,20,[16,16,16,16,16],117352,4.039226,3.146,259598.241987,-39.08,0.55,0.04,-0.55
csv,uni32x3,15,[32,32,32],91960,0.145998,2.314,224441.352303,18.16,-3.89,-1.58,4.05
csv,uni32x3,16,[32,32,32,2],135648,0.265163,2.661,247153.912538,60.57,-4.19,10.82,4.37
csv,uni32x3,17,[32,32,32,4],136480,0.504611,2.687,259748.413115,23.77,-4.31,2.19,4.51
csv,uni32x3,18,[32,32,32,8],138144,0.982153,2.665,266907.377187,-1.19,-4.10,-3.64,4.28
csv,uni32x3,19,[32,32,32,16],141472,1.937223,2.730,270638.943719,-26.56,-4.11,-11.71,4.29
csv,uni32x3,20,[32,32,32,32],148128,3.899509,2.788,268899.487611,-23.11,-2.92,-11.35,3.01
csv,uni64x2x8,15,[64,64,8],148536,0.142440,2.652,230047.250040,90.86,-6.24,12.80,6.65
csv,uni64x2x8,16,[64,64,8,2],156448,0.261788,2.717,250339.701035,85.19,-5.40,13.15,5.71
csv,uni64x2x8,17,[64,64,8,4],157280,0.495279,2.701,264642.869655,42.63,-6.08,2.72,6.48
csv,uni64x2x8,18,[64,64,8,8],158944,0.967997,2.710,270810.896527,13.69,-5.48,-2.01,5.80
csv,uni64x2x8,19,[64,64,8,16],217600,1.907871,3.126,274802.669700,12.96,-5.56,1.07,5.89
csv,uni64x2x8,20,[64,64,8,32],224256,3.846165,3.265,272628.979867,16.41,-4.25,3.83,4.44
csv,hi128_32_8,15,[128,32,8],201784,0.141260,2.857,231969.843411,159.28,-7.01,21.54,7.54
csv,hi128_32_8,16,[128,32,8,2],209696,0.256299,4.776,255701.400694,148.22,-7.39,98.88,7.98
csv,hi128_32_8,17,[128,32,8,4],210528,0.489708,2.929,267653.553106,90.92,-7.14,11.42,7.69
csv,hi128_32_8,18,[128,32,8,8],225088,0.963239,3.051,272148.478240,61.00,-5.95,10.30,6.32
csv,hi128_32_8,19,[128,32,8,16],231328,1.903371,3.085,275452.285168,20.08,-5.79,-0.24,6.14
csv,hi128_32_8,20,[128,32,8,32],237984,3.796799,3.212,276173.671026,23.54,-5.48,2.12,5.80
