csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,"[16,16,8]",48696,0.034128,1.984,60009.787925,0.00,0.00,0.00,0.00
csv,paper,12,"[16,16,8,2]",56608,0.041920,2.062,97710.867674,0.00,0.00,0.00,0.00
csv,paper,13,"[16,16,8,4]",69920,0.057456,2.202,142577.728402,0.00,0.00,0.00,0.00
csv,paper,14,"[16,16,8,8]",71584,0.088769,2.203,184568.178448,0.00,0.00,0.00,0.00
csv,paper,15,"[16,16,8,16]",77824,0.151521,2.274,216260.612200,0.00,0.00,0.00,0.00
csv,paper,16,"[16,16,8,32]",84480,0.276353,2.319,237145.928773,0.00,0.00,0.00,0.00
csv,paper,17,"[16,16,8,64]",110272,0.527397,2.523,248526.111150,0.00,0.00,0.00,0.00
csv,paper,18,"[16,16,8,128]",139808,1.024458,2.697,255885.447032,0.00,0.00,0.00,0.00
csv,paper,19,"[16,16,8,256]",192640,2.022997,3.000,259163.983242,0.00,0.00,0.00,0.00
csv,paper,20,"[16,16,8,512]",192640,4.042822,3.021,259367.324562,0.00,0.00,0.00,0.00
csv,mod16,16,"[16,16,16,16]",81568,0.274014,2.303,239170.443797,-3.45,-0.85,-0.69,0.85
csv,mod16,17,"[16,16,16,16,2]",111528,0.525232,2.989,249550.617259,1.14,-0.41,18.44,0.41
csv,mod16,18,"[16,16,16,16,4]",112360,1.023783,3.014,256054.137196,-19.63,-0.07,11.77,0.07
csv,mod16,19,"[16,16,16,16,8]",114024,2.021828,2.989,259313.790427,-40.81,-0.06,-0.37,0.06
csv,mod16,20,"[16,16,16,16,16]",117352,4.050595,3.056,258869.643628,-39.08,0.19,1.19,-0.19
csv,uni32x3,15,"[32,32,32]",91960,0.152682,2.249,214616.477185,18.16,0.77,-1.09,-0.76
csv,uni32x3,16,"[32,32,32,2]",135648,0.274168,2.593,239035.984972,60.57,-0.79,11.82,0.80
csv,uni32x3,17,"[32,32,32,4]",136480,0.508532,2.621,257745.595132,23.77,-3.58,3.88,3.71
csv,uni32x3,18,"[32,32,32,8]",138144,0.988090,2.610,265303.887359,-1.19,-3.55,-3.22,3.68
csv,uni32x3,19,"[32,32,32,16]",141472,1.941466,2.634,270047.538839,-26.56,-4.03,-12.18,4.20
csv,uni32x3,20,"[32,32,32,32]",148128,3.886164,2.745,269822.855663,-23.11,-3.87,-9.12,4.03
csv,uni64x2x8,15,"[64,64,8]",148536,0.142345,2.559,230201.337864,90.86,-6.06,12.55,6.45
csv,uni64x2x8,16,"[64,64,8,2]",156448,0.260737,2.618,251348.692302,85.19,-5.65,12.90,5.99
csv,uni64x2x8,17,"[64,64,8,4]",157280,0.495389,2.623,264584.123908,42.63,-6.07,3.97,6.46
csv,uni64x2x8,18,"[64,64,8,8]",158944,0.964227,2.646,271869.460893,13.69,-5.88,-1.89,6.25
csv,uni64x2x8,19,"[64,64,8,16]",217600,1.917530,3.054,273418.436574,12.96,-5.21,1.80,5.50
csv,uni64x2x8,20,"[64,64,8,32]",224256,3.845796,3.150,272655.135986,16.41,-4.87,4.30,5.12
csv,hi128_32_8,15,"[128,32,8]",201784,0.140882,2.758,232591.201918,159.28,-7.02,21.32,7.55
csv,hi128_32_8,16,"[128,32,8,2]",209696,0.255730,2.847,256269.787017,148.22,-7.46,22.78,8.06
csv,hi128_32_8,17,"[128,32,8,4]",210528,0.490975,2.843,266962.891085,90.92,-6.91,12.65,7.42
csv,hi128_32_8,18,"[128,32,8,8]",225088,0.962465,3.003,272367.177820,61.00,-6.05,11.35,6.44
csv,hi128_32_8,19,"[128,32,8,16]",231328,1.922008,3.023,272781.371024,20.08,-4.99,0.79,5.25
csv,hi128_32_8,20,"[128,32,8,32]",237984,3.823237,3.098,274263.917158,23.54,-5.43,2.55,5.74
