csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],48696,0.034264,1.988,59771.031421,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],56608,0.043067,2.063,95107.176919,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],69920,0.059323,2.222,138090.806606,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],71584,0.088657,2.233,184803.094694,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],77824,0.153654,2.383,213257.993283,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],84480,0.279311,2.345,234634.328221,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],110272,0.532644,2.545,246077.887260,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],139808,1.030942,2.747,254276.085121,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],192640,2.021538,3.071,259350.991724,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],192640,4.042854,3.093,259365.269693,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],81568,0.276045,2.394,237410.382209,-3.45,-1.17,2.09,1.18
csv,mod16,17,[16,16,16,16,2],111528,0.530159,3.077,247231.713838,1.14,-0.47,20.90,0.47
csv,mod16,18,[16,16,16,16,4],112360,1.033718,3.088,253593.230356,-19.63,0.27,12.42,-0.27
csv,mod16,19,[16,16,16,16,8],114024,2.050265,3.118,255717.128659,-40.81,1.42,1.54,-1.40
csv,mod16,20,[16,16,16,16,16],117352,4.119198,3.162,254558.291775,-39.08,1.89,2.24,-1.85
csv,uni32x3,15,[32,32,32],91960,0.153205,2.444,213883.220688,18.16,-0.29,2.56,0.29
csv,uni32x3,16,[32,32,32,2],135648,0.271966,2.811,240971.024984,60.57,-2.63,19.89,2.70
csv,uni32x3,17,[32,32,32,4],136480,0.515540,2.655,254241.963500,23.77,-3.21,4.31,3.32
csv,uni32x3,18,[32,32,32,8],138144,1.002371,2.677,261524.011303,-1.19,-2.77,-2.54,2.85
csv,uni32x3,19,[32,32,32,16],141472,1.991890,2.735,263211.382035,-26.56,-1.47,-10.93,1.49
csv,uni32x3,20,[32,32,32,32],148128,3.983140,2.870,263253.582721,-23.11,-1.48,-7.22,1.50
csv,uni64x2x8,15,[64,64,8],148536,0.146668,2.800,223416.124867,90.86,-4.55,17.50,4.76
csv,uni64x2x8,16,[64,64,8,2],156448,0.271913,2.840,241018.251804,85.19,-2.65,21.14,2.72
csv,uni64x2x8,17,[64,64,8,4],157280,0.501726,2.741,261242.213302,42.63,-5.80,7.69,6.16
csv,uni64x2x8,18,[64,64,8,8],158944,0.977512,2.705,268174.793053,13.69,-5.18,-1.51,5.47
csv,uni64x2x8,19,[64,64,8,16],217600,1.923770,3.160,272531.516967,12.96,-4.84,2.90,5.08
csv,uni64x2x8,20,[64,64,8,32],224256,4.093051,3.197,256184.428458,16.41,1.24,3.37,-1.23
csv,hi128_32_8,15,[128,32,8],201784,0.147501,3.009,222154.317631,159.28,-4.00,26.26,4.17
csv,hi128_32_8,16,[128,32,8,2],209696,0.275622,3.131,237775.265251,148.22,-1.32,33.54,1.34
csv,hi128_32_8,17,[128,32,8,4],210528,0.522017,2.934,251087.585651,90.92,-2.00,15.27,2.04
csv,hi128_32_8,18,[128,32,8,8],225088,1.035576,3.208,253138.360814,61.00,0.45,16.79,-0.45
csv,hi128_32_8,19,[128,32,8,16],231328,2.000345,3.118,262098.786649,20.08,-1.05,1.52,1.06
csv,hi128_32_8,20,[128,32,8,32],237984,3.982842,3.294,263273.302340,23.54,-1.48,6.51,1.51
