csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,"[16,16,8]",97120,0.133353,8.986,15357.791396,0.00,0.00,0.00,0.00
csv,paper,12,"[16,16,8,2]",119200,0.158393,11.024,25859.797384,0.00,0.00,0.00,0.00
csv,paper,13,"[16,16,8,4]",145472,0.205561,11.692,39851.873815,0.00,0.00,0.00,0.00
csv,paper,14,"[16,16,8,8]",163776,0.300005,11.766,54612.362508,0.00,0.00,0.00,0.00
csv,paper,15,"[16,16,8,16]",180384,0.488902,12.062,67023.658327,0.00,0.00,0.00,0.00
csv,paper,16,"[16,16,8,32]",200160,0.866587,12.320,75625.396242,0.00,0.00,0.00,0.00
csv,paper,17,"[16,16,8,64]",247328,1.630905,13.431,80367.663864,0.00,0.00,0.00,0.00
csv,paper,18,"[16,16,8,128]",288576,3.164443,14.581,82840.491309,0.00,0.00,0.00,0.00
csv,paper,19,"[16,16,8,256]",364032,6.242618,16.598,83985.280121,0.00,0.00,0.00,0.00
csv,paper,20,"[16,16,8,512]",391136,12.439725,16.602,84292.535430,0.00,0.00,0.00,0.00
csv,mod16,16,"[16,16,16,16]",200928,0.868120,12.122,75491.863831,0.38,0.18,-1.61,-0.18
csv,mod16,17,"[16,16,16,16,2]",256864,1.632027,15.230,80312.378339,3.86,0.07,13.40,-0.07
csv,mod16,18,"[16,16,16,16,4]",278560,3.157843,15.286,83013.623105,-3.47,-0.21,4.84,0.21
csv,mod16,19,"[16,16,16,16,8]",298528,6.275862,15.360,83540.395564,-17.99,0.53,-7.46,-0.53
csv,mod16,20,"[16,16,16,16,16]",323328,12.471723,15.457,84076.271820,-17.34,0.26,-6.89,-0.26
csv,uni32x3,15,"[32,32,32]",214048,0.473870,10.713,69149.827081,18.66,-3.07,-11.18,3.17
csv,uni32x3,16,"[32,32,32,2]",286528,0.842361,14.115,77800.349817,43.15,-2.80,14.57,2.88
csv,uni32x3,17,"[32,32,32,4]",303488,1.575199,14.164,83209.825362,22.71,-3.42,5.46,3.54
csv,uni32x3,18,"[32,32,32,8]",335264,3.049410,14.241,85965.488839,16.18,-3.64,-2.33,3.77
csv,uni32x3,19,"[32,32,32,16]",363040,6.009143,14.431,87248.385770,-0.27,-3.74,-13.05,3.89
csv,uni32x3,20,"[32,32,32,32]",410464,11.980026,14.684,87527.023888,4.94,-3.70,-11.55,3.84
csv,uni64x2x8,15,"[64,64,8]",297632,0.467567,12.671,70081.883670,65.00,-4.36,5.05,4.56
csv,uni64x2x8,16,"[64,64,8,2]",346976,0.832307,14.778,78740.150953,73.35,-3.96,19.95,4.12
csv,uni64x2x8,17,"[64,64,8,4]",389984,1.543643,14.804,84910.816612,57.68,-5.35,10.22,5.65
csv,uni64x2x8,18,"[64,64,8,8]",432864,3.006584,14.879,87189.991845,50.00,-4.99,2.05,5.25
csv,uni64x2x8,19,"[64,64,8,16]",538304,5.915204,17.231,88633.960371,47.87,-5.24,3.82,5.54
csv,uni64x2x8,20,"[64,64,8,32]",568576,11.806824,17.517,88811.011644,45.37,-5.09,5.51,5.36
csv,hi128_32_8,15,"[128,32,8]",434720,0.471766,14.614,69458.090702,141.00,-3.50,21.15,3.63
csv,hi128_32_8,16,"[128,32,8,2]",468544,0.827005,16.665,79245.011820,134.08,-4.57,35.27,4.79
csv,hi128_32_8,17,"[128,32,8,4]",494080,1.537746,16.789,85236.448348,99.77,-5.71,25.00,6.06
csv,hi128_32_8,18,"[128,32,8,8]",561696,2.988345,17.374,87722.144156,94.64,-5.56,19.16,5.89
csv,hi128_32_8,19,"[128,32,8,16]",630688,5.867500,17.675,89354.576386,73.25,-6.01,6.49,6.39
csv,hi128_32_8,20,"[128,32,8,32]",691552,11.709143,18.012,89551.896805,76.81,-5.87,8.50,6.24
