csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],29976,0.006958,0.366,294346.252374,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],34848,0.009747,0.395,420212.077835,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],43040,0.015981,0.408,512595.347459,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],44064,0.028485,0.421,575178.243293,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],47904,0.053610,0.423,611227.344246,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],52000,0.106364,0.440,616146.872657,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],67872,0.205216,0.474,638701.857187,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],86048,0.415050,0.503,631595.812796,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],118560,0.812554,0.535,645234.754434,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],118560,1.624332,0.528,645542.740529,0.00,0.00,0.00,0.00
csv,paper,21,[16,16,8,1024],128032,3.243214,0.562,646627.755112,0.00,0.00,0.00,0.00
csv,paper,22,[16,16,8,2048],128032,6.506407,0.599,644642.111459,0.00,0.00,0.00,0.00
csv,paper,23,[16,16,8,4096],128032,13.007890,0.585,644886.164886,0.00,0.00,0.00,0.00
csv,paper,24,[16,16,8,8192],129824,26.136244,0.584,641913.814404,0.00,0.00,0.00,0.00
csv,paper,25,[16,16,8,16384],137504,52.482608,0.615,639343.841543,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],50208,0.104589,0.436,626604.589060,-3.45,-1.67,-0.84,1.70
csv,mod16,17,[16,16,16,16,2],68648,0.206869,0.558,633599.040939,1.14,0.81,17.81,-0.80
csv,mod16,18,[16,16,16,16,4],69160,0.408791,0.561,641266.236232,-19.63,-1.51,11.52,1.53
csv,mod16,19,[16,16,16,16,8],70184,0.823420,0.539,636719.795582,-40.80,1.34,0.71,-1.32
csv,mod16,20,[16,16,16,16,16],72232,1.633120,0.555,642068.988153,-39.08,0.54,5.13,-0.54
csv,mod16,21,[16,16,16,16,32],91688,3.279563,0.621,639460.733092,-28.39,1.12,10.59,-1.11
