csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],63648,0.020938,1.472,97812.005612,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],77920,0.029443,1.810,139118.228859,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],96896,0.045525,1.926,179943.768890,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],106496,0.078477,1.930,208774.436335,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],118176,0.145407,2.028,225352.951116,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],131520,0.275476,2.035,237901.193677,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],159296,0.537800,2.236,243719.024534,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],187712,1.076405,2.428,243536.502222,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],237568,2.123661,2.771,246879.298664,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],254048,4.222325,2.780,248340.926696,0.00,0.00,0.00,0.00
csv,paper,21,[16,16,8,1024],291616,8.459675,2.929,247899.839195,0.00,0.00,0.00,0.00
csv,paper,22,[16,16,8,2048],320608,16.972297,2.951,247126.483346,0.00,0.00,0.00,0.00
csv,paper,23,[16,16,8,4096],359488,34.454930,2.924,243466.115577,0.00,0.00,0.00,0.00
